,epoch,acc,precision,recall,pred_acc_member,pred_acc_non_member,true_member,false_member,true_non_member,false_non_member
0,1.0,0.48333333333333334,0.2727272727272727,0.02,0.07333333333333333,0.14,3.0,8.0,142.0,147.0
1,2.0,0.48333333333333334,0.2727272727272727,0.02,0.07333333333333333,0.14,3.0,8.0,142.0,147.0
2,3.0,0.48,0.39285714285714285,0.07333333333333333,0.08666666666666667,0.10666666666666667,11.0,17.0,133.0,139.0
3,4.0,0.48333333333333334,0.2727272727272727,0.02,0.07333333333333333,0.13333333333333333,3.0,8.0,142.0,147.0
4,5.0,0.47,0.3548387096774194,0.07333333333333333,0.07333333333333333,0.13333333333333333,11.0,20.0,130.0,139.0
5,6.0,0.47,0.3548387096774194,0.07333333333333333,0.07333333333333333,0.13333333333333333,11.0,20.0,130.0,139.0
6,7.0,0.5166666666666667,0.5217391304347826,0.4,0.4666666666666667,0.38,60.0,55.0,95.0,90.0
7,8.0,0.5066666666666667,0.5294117647058824,0.12,0.12,0.14666666666666667,18.0,16.0,134.0,132.0
8,9.0,0.4866666666666667,0.45,0.12,0.12,0.14666666666666667,18.0,22.0,128.0,132.0
9,10.0,0.5133333333333333,0.53125,0.22666666666666666,0.3,0.25333333333333335,34.0,30.0,120.0,116.0
10,11.0,0.5233333333333333,0.5421686746987951,0.3,0.3,0.25333333333333335,45.0,38.0,112.0,105.0
11,12.0,0.5833333333333334,0.5603864734299517,0.7733333333333333,0.7933333333333333,0.66,116.0,91.0,59.0,34.0
12,13.0,0.56,0.5463917525773195,0.7066666666666667,0.7133333333333334,0.6,106.0,88.0,62.0,44.0
13,14.0,0.5833333333333334,0.5603864734299517,0.7733333333333333,0.7733333333333333,0.6533333333333333,116.0,91.0,59.0,34.0
14,15.0,0.5466666666666666,0.5353535353535354,0.7066666666666667,0.7266666666666667,0.64,106.0,92.0,58.0,44.0
15,16.0,0.57,0.5488372093023256,0.7866666666666666,0.8,0.6466666666666666,118.0,97.0,53.0,32.0
16,17.0,0.5466666666666666,0.5353535353535354,0.7066666666666667,0.7466666666666667,0.6533333333333333,106.0,92.0,58.0,44.0
17,18.0,0.57,0.5488372093023256,0.7866666666666666,0.8133333333333334,0.6333333333333333,118.0,97.0,53.0,32.0
18,19.0,0.59,0.5622119815668203,0.8133333333333334,0.8133333333333334,0.6333333333333333,122.0,95.0,55.0,28.0
19,20.0,0.5633333333333334,0.5429864253393665,0.8,0.8266666666666667,0.72,120.0,101.0,49.0,30.0
20,21.0,0.5466666666666666,0.5339805825242718,0.7333333333333333,0.8266666666666667,0.7,110.0,96.0,54.0,40.0
21,22.0,0.5633333333333334,0.5429864253393665,0.8,0.8666666666666667,0.74,120.0,101.0,49.0,30.0
22,23.0,0.6,0.5852272727272727,0.6866666666666666,0.6933333333333334,0.56,103.0,73.0,77.0,47.0
23,24.0,0.57,0.5580110497237569,0.6733333333333333,0.7533333333333333,0.6133333333333333,101.0,80.0,70.0,49.0
24,25.0,0.6133333333333333,0.5801886792452831,0.82,0.8866666666666667,0.7066666666666667,123.0,89.0,61.0,27.0
25,26.0,0.6133333333333333,0.5801886792452831,0.82,0.9,0.7333333333333333,123.0,89.0,61.0,27.0
26,27.0,0.57,0.5483870967741935,0.7933333333333333,0.7733333333333333,0.64,119.0,98.0,52.0,31.0
27,28.0,0.6,0.56,0.9333333333333333,0.9333333333333333,0.7666666666666667,140.0,110.0,40.0,10.0
28,29.0,0.5833333333333334,0.5570776255707762,0.8133333333333334,0.8,0.6666666666666666,122.0,97.0,53.0,28.0
29,30.0,0.5666666666666667,0.5454545454545454,0.8,0.8,0.6666666666666666,120.0,100.0,50.0,30.0
30,31.0,0.5833333333333334,0.5541125541125541,0.8533333333333334,0.8866666666666667,0.74,128.0,103.0,47.0,22.0
31,32.0,0.5833333333333334,0.5541125541125541,0.8533333333333334,0.9133333333333333,0.7466666666666667,128.0,103.0,47.0,22.0
32,33.0,0.61,0.5647058823529412,0.96,0.9666666666666667,0.7933333333333333,144.0,111.0,39.0,6.0
33,34.0,0.5833333333333334,0.5541125541125541,0.8533333333333334,0.9066666666666666,0.7533333333333333,128.0,103.0,47.0,22.0
34,35.0,0.5766666666666667,0.5461847389558233,0.9066666666666666,0.9066666666666666,0.7533333333333333,136.0,113.0,37.0,14.0
35,36.0,0.6033333333333334,0.5622489959839357,0.9333333333333333,0.94,0.7666666666666667,140.0,109.0,41.0,10.0
36,37.0,0.6,0.5572519083969466,0.9733333333333334,0.9733333333333334,0.84,146.0,116.0,34.0,4.0
37,38.0,0.6033333333333334,0.5622489959839357,0.9333333333333333,0.9533333333333334,0.8,140.0,109.0,41.0,10.0
38,39.0,0.5966666666666667,0.5551330798479087,0.9733333333333334,0.96,0.8466666666666667,146.0,117.0,33.0,4.0
39,40.0,0.5766666666666667,0.5461847389558233,0.9066666666666666,0.9666666666666667,0.8533333333333334,136.0,113.0,37.0,14.0
40,41.0,0.5766666666666667,0.5433962264150943,0.96,0.9866666666666667,0.8866666666666667,144.0,121.0,29.0,6.0
41,42.0,0.5766666666666667,0.5433962264150943,0.96,0.9866666666666667,0.8866666666666667,144.0,121.0,29.0,6.0
42,43.0,0.5966666666666667,0.5551330798479087,0.9733333333333334,0.98,0.8466666666666667,146.0,117.0,33.0,4.0
43,44.0,0.5433333333333333,0.5286343612334802,0.8,0.82,0.7333333333333333,120.0,107.0,43.0,30.0
44,45.0,0.5433333333333333,0.5278969957081545,0.82,0.82,0.7333333333333333,123.0,110.0,40.0,27.0
45,46.0,0.5433333333333333,0.5278969957081545,0.82,0.82,0.7333333333333333,123.0,110.0,40.0,27.0
46,47.0,0.58,0.5491803278688525,0.8933333333333333,0.92,0.8133333333333334,134.0,110.0,40.0,16.0
47,48.0,0.5533333333333333,0.5307692307692308,0.92,0.92,0.8133333333333334,138.0,122.0,28.0,12.0
48,49.0,0.56,0.5357142857142857,0.9,0.9466666666666667,0.8533333333333334,135.0,117.0,33.0,15.0
49,50.0,0.56,0.5357142857142857,0.9,0.9533333333333334,0.86,135.0,117.0,33.0,15.0
50,51.0,0.5533333333333333,0.5285714285714286,0.9866666666666667,0.98,0.9,148.0,132.0,18.0,2.0
51,52.0,0.55,0.5268817204301075,0.98,0.9866666666666667,0.9133333333333333,147.0,132.0,18.0,3.0
52,53.0,0.5766666666666667,0.5427509293680297,0.9733333333333334,0.9933333333333333,0.9133333333333333,146.0,123.0,27.0,4.0
53,54.0,0.6,0.55859375,0.9533333333333334,0.94,0.8066666666666666,143.0,113.0,37.0,7.0
54,55.0,0.5666666666666667,0.5381679389312977,0.94,0.94,0.8066666666666666,141.0,121.0,29.0,9.0
55,56.0,0.5666666666666667,0.5381679389312977,0.94,0.94,0.8066666666666666,141.0,121.0,29.0,9.0
56,57.0,0.57,0.5399239543726235,0.9466666666666667,0.9666666666666667,0.9,142.0,121.0,29.0,8.0
57,58.0,0.58,0.5454545454545454,0.96,0.9733333333333334,0.8533333333333334,144.0,120.0,30.0,6.0
58,59.0,0.58,0.5454545454545454,0.96,0.9733333333333334,0.8733333333333333,144.0,120.0,30.0,6.0
59,60.0,0.58,0.5444444444444444,0.98,0.9933333333333333,0.8933333333333333,147.0,123.0,27.0,3.0
60,61.0,0.5766666666666667,0.5437262357414449,0.9533333333333334,0.9533333333333334,0.8333333333333334,143.0,120.0,30.0,7.0
61,62.0,0.54,0.5211267605633803,0.9866666666666667,0.9866666666666667,0.9333333333333333,148.0,136.0,14.0,2.0
62,63.0,0.5333333333333333,0.5173611111111112,0.9933333333333333,0.9933333333333333,0.9533333333333334,149.0,139.0,11.0,1.0
63,64.0,0.5366666666666666,0.519163763066202,0.9933333333333333,0.9933333333333333,0.9533333333333334,149.0,138.0,12.0,1.0
64,65.0,0.5366666666666666,0.519163763066202,0.9933333333333333,0.9933333333333333,0.9533333333333334,149.0,138.0,12.0,1.0
65,66.0,0.5333333333333333,0.5173611111111112,0.9933333333333333,0.9933333333333333,0.9533333333333334,149.0,139.0,11.0,1.0
66,67.0,0.53156146179402,0.5171232876712328,1.0,1.0,0.96,150.0,141.0,9.0,0.0
67,68.0,0.53156146179402,0.5171232876712328,1.0,1.0,0.96,150.0,141.0,9.0,0.0
68,69.0,0.5233333333333333,0.5120274914089347,0.9933333333333333,1.0,0.96,149.0,142.0,8.0,1.0
69,70.0,0.5282392026578073,0.515358361774744,1.0,1.0,0.9733333333333334,150.0,142.0,8.0,0.0
70,71.0,0.53156146179402,0.5171232876712328,1.0,1.0,0.9666666666666667,150.0,141.0,9.0,0.0
71,72.0,0.5182724252491694,0.5101351351351351,1.0,1.0,0.9666666666666667,150.0,145.0,5.0,0.0
72,73.0,0.5182724252491694,0.5101351351351351,1.0,1.0,0.9666666666666667,150.0,145.0,5.0,0.0
73,74.0,0.521594684385382,0.511864406779661,1.0,0.98,0.9666666666666667,150.0,144.0,6.0,0.0
74,75.0,0.5249169435215947,0.5136054421768708,1.0,0.98,0.9066666666666666,150.0,143.0,7.0,0.0
75,76.0,0.5249169435215947,0.5136054421768708,1.0,0.98,0.92,150.0,143.0,7.0,0.0
76,77.0,0.5149501661129569,0.5084175084175084,1.0,0.98,0.9266666666666666,150.0,146.0,4.0,0.0
77,78.0,0.5266666666666666,0.513986013986014,0.98,0.98,0.9266666666666666,147.0,139.0,11.0,3.0
78,79.0,0.5266666666666666,0.513986013986014,0.98,0.98,0.9266666666666666,147.0,139.0,11.0,3.0
79,80.0,0.5266666666666666,0.513986013986014,0.98,0.98,0.9266666666666666,147.0,139.0,11.0,3.0
80,81.0,0.521594684385382,0.511864406779661,1.0,0.9733333333333334,0.9133333333333333,150.0,144.0,6.0,0.0
81,82.0,0.5182724252491694,0.5101351351351351,1.0,0.9933333333333333,0.92,150.0,145.0,5.0,0.0
82,83.0,0.5366666666666666,0.519163763066202,0.9933333333333333,0.9933333333333333,0.92,149.0,138.0,12.0,1.0
83,84.0,0.5348837209302325,0.5189003436426117,1.0,0.9733333333333334,0.8733333333333333,150.0,140.0,10.0,0.0
84,85.0,0.55,0.5270758122743683,0.9733333333333334,0.9733333333333334,0.8733333333333333,146.0,131.0,19.0,4.0
85,86.0,0.55,0.5270758122743683,0.9733333333333334,0.9733333333333334,0.8733333333333333,146.0,131.0,19.0,4.0
86,87.0,0.5415282392026578,0.5224913494809689,1.0,0.9533333333333334,0.88,150.0,138.0,12.0,0.0
87,88.0,0.5366666666666666,0.519298245614035,0.9866666666666667,0.98,0.8933333333333333,148.0,137.0,13.0,2.0
88,89.0,0.53,0.5155709342560554,0.9933333333333333,0.96,0.8466666666666667,149.0,140.0,10.0,1.0
89,90.0,0.5448504983388704,0.5243055555555556,1.0,0.9533333333333334,0.8933333333333333,150.0,137.0,13.0,0.0
90,91.0,0.5448504983388704,0.5243055555555556,1.0,0.9733333333333334,0.8733333333333333,150.0,137.0,13.0,0.0
91,92.0,0.55,0.5270758122743683,0.9733333333333334,0.9733333333333334,0.8733333333333333,146.0,131.0,19.0,4.0
92,93.0,0.5133333333333333,0.5068027210884354,0.9933333333333333,0.9666666666666667,0.8266666666666667,149.0,145.0,5.0,1.0
