,epoch,participant,test_loss,test_accuracy,train_accuracy
0,0.0,g,0.0393933033086977,0.09841160220994476,0.0
1,0.0,0.0,0.0393337307497859,0.09921875,0.0
2,0.0,1.0,0.039510571584105494,0.10625,0.0
3,0.0,2.0,0.039420115761458874,0.1015625,0.0
4,0.0,3.0,0.0392884660512209,0.1,0.0
5,0.0,4.0,0.03935897797346115,0.09375,0.0
6,0.0,5.0,0.03934558779001236,0.103125,0.0
7,0.0,6.0,0.03945279698818922,0.09375,0.0
8,0.0,7.0,0.03946699481457472,0.0875,0.0
9,0.0,8.0,0.03930529169738293,0.1,0.0
10,1.0,1.0,0.010057458304800093,0.77578125,0.69
11,1.0,8.0,0.010265141376294196,0.7625,0.685
12,1.0,7.0,0.009020164958201349,0.78828125,0.708125
13,1.0,3.0,0.009072892740368843,0.80234375,0.67984375
14,1.0,2.0,0.008440183312632143,0.803125,0.69796875
15,1.0,0.0,0.008419922040775418,0.80234375,0.69453125
16,1.0,4.0,0.008394269365817308,0.81171875,0.69734375
17,1.0,g,0.00952103851846733,0.7791781767955801,0.6932589411735535
18,2.0,3.0,0.00890721653122455,0.79921875,0.679375
19,2.0,6.0,0.00898371683433652,0.7875,0.70453125
20,2.0,1.0,0.00938080926425755,0.78125,0.67421875
21,2.0,2.0,0.007216579047963023,0.83515625,0.8034375
22,2.0,0.0,0.008857536897994577,0.7984375,0.68046875
23,2.0,7.0,0.008796563697978854,0.7890625,0.69890625
24,2.0,4.0,0.008385423244908452,0.81015625,0.6821875
25,2.0,5.0,0.009379134373739361,0.7890625,0.69796875
26,2.0,g,0.009369720730580677,0.7748618784530387,0.70263671875
27,3.0,5.0,0.00883520538918674,0.8125,0.68015625
28,3.0,2.0,0.008341953461058437,0.80625,0.68359375
29,3.0,7.0,0.008133947034366429,0.80703125,0.8175
30,3.0,3.0,0.009265762567520142,0.79140625,0.675625
31,3.0,0.0,0.008963254955597222,0.78515625,0.6759375
32,3.0,1.0,0.00935306332539767,0.78828125,0.67703125
33,3.0,4.0,0.008146620471961796,0.81953125,0.68921875
34,3.0,g,0.011189738157313337,0.7284185082872928,0.699865996837616
35,4.0,2.0,0.0064321492798626425,0.84921875,0.81265625
36,4.0,7.0,0.0067349117249250415,0.82890625,0.83046875
