,epoch,acc,precision,recall,pred_acc_member,pred_acc_non_member,true_member,false_member,true_non_member,false_non_member
0,1.0,0.5166666666666667,0.5675675675675675,0.14,0.17333333333333334,0.16,21.0,16.0,134.0,129.0
1,2.0,0.5066666666666667,0.52,0.17333333333333334,0.17333333333333334,0.16,26.0,24.0,126.0,124.0
2,3.0,0.47333333333333333,0.4827586206896552,0.7466666666666667,0.7933333333333333,0.8133333333333334,112.0,120.0,30.0,38.0
3,4.0,0.4866666666666667,0.49173553719008267,0.7933333333333333,0.7933333333333333,0.8133333333333334,119.0,123.0,27.0,31.0
4,5.0,0.48333333333333334,0.4900398406374502,0.82,0.8466666666666667,0.8933333333333333,123.0,128.0,22.0,27.0
5,6.0,0.48,0.4881889763779528,0.8266666666666667,0.8666666666666667,0.9066666666666666,124.0,130.0,20.0,26.0
6,7.0,0.48333333333333334,0.4900398406374502,0.82,0.86,0.9,123.0,128.0,22.0,27.0
7,8.0,0.48333333333333334,0.4900398406374502,0.82,0.8733333333333333,0.9066666666666666,123.0,128.0,22.0,27.0
8,9.0,0.4866666666666667,0.49236641221374045,0.86,0.8733333333333333,0.9066666666666666,129.0,133.0,17.0,21.0
9,10.0,0.48,0.48854961832061067,0.8533333333333334,0.9,0.9333333333333333,128.0,134.0,16.0,22.0
10,11.0,0.49,0.4945054945054945,0.9,0.9,0.9333333333333333,135.0,138.0,12.0,15.0
11,12.0,0.47,0.483271375464684,0.8666666666666667,0.88,0.92,130.0,139.0,11.0,20.0
12,13.0,0.4866666666666667,0.4924812030075188,0.8733333333333333,0.88,0.9066666666666666,131.0,135.0,15.0,19.0
13,14.0,0.4866666666666667,0.4924812030075188,0.8733333333333333,0.88,0.92,131.0,135.0,15.0,19.0
14,15.0,0.48333333333333334,0.49049429657794674,0.86,0.88,0.9066666666666666,129.0,134.0,16.0,21.0
15,16.0,0.47,0.483271375464684,0.8666666666666667,0.8933333333333333,0.9266666666666666,130.0,139.0,11.0,20.0
16,17.0,0.4866666666666667,0.49242424242424243,0.8666666666666667,0.9,0.92,130.0,134.0,16.0,20.0
17,18.0,0.49,0.49429657794676807,0.8666666666666667,0.9266666666666666,0.92,130.0,133.0,17.0,20.0
18,19.0,0.48333333333333334,0.49049429657794674,0.86,0.88,0.8933333333333333,129.0,134.0,16.0,21.0
19,20.0,0.5,0.5,0.8866666666666667,0.88,0.8933333333333333,133.0,133.0,17.0,17.0
20,21.0,0.49,0.4945054945054945,0.9,0.8733333333333333,0.92,135.0,138.0,12.0,15.0
21,22.0,0.49,0.4943820224719101,0.88,0.8733333333333333,0.92,132.0,135.0,15.0,18.0
22,23.0,0.49,0.4944649446494465,0.8933333333333333,0.8933333333333333,0.9,134.0,137.0,13.0,16.0
23,24.0,0.49,0.4944649446494465,0.8933333333333333,0.8666666666666667,0.9,134.0,137.0,13.0,16.0
24,25.0,0.4866666666666667,0.49264705882352944,0.8933333333333333,0.8866666666666667,0.9133333333333333,134.0,138.0,12.0,16.0
25,26.0,0.49333333333333335,0.49624060150375937,0.88,0.8733333333333333,0.8866666666666667,132.0,134.0,16.0,18.0
26,27.0,0.49,0.4944649446494465,0.8933333333333333,0.9066666666666666,0.9,134.0,137.0,13.0,16.0
27,28.0,0.5033333333333333,0.5017921146953405,0.9333333333333333,0.9333333333333333,0.8733333333333333,140.0,139.0,11.0,10.0
28,29.0,0.5,0.5,0.9333333333333333,0.9,0.9066666666666666,140.0,140.0,10.0,10.0
29,30.0,0.5,0.5,0.9333333333333333,0.9,0.8866666666666667,140.0,140.0,10.0,10.0
30,31.0,0.5066666666666667,0.5036764705882353,0.9133333333333333,0.9,0.8866666666666667,137.0,135.0,15.0,13.0
31,32.0,0.5066666666666667,0.5036231884057971,0.9266666666666666,0.92,0.8866666666666667,139.0,137.0,13.0,11.0
32,33.0,0.5133333333333333,0.5074626865671642,0.9066666666666666,0.92,0.8866666666666667,136.0,132.0,18.0,14.0
33,34.0,0.5066666666666667,0.5036496350364964,0.92,0.9466666666666667,0.9,138.0,136.0,14.0,12.0
34,35.0,0.5266666666666666,0.5145985401459854,0.94,0.9466666666666667,0.9,141.0,133.0,17.0,9.0
35,36.0,0.5066666666666667,0.5036496350364964,0.92,0.9333333333333333,0.9066666666666666,138.0,136.0,14.0,12.0
36,37.0,0.49666666666666665,0.49818181818181817,0.9133333333333333,0.9333333333333333,0.8933333333333333,137.0,138.0,12.0,13.0
37,38.0,0.5033333333333333,0.5018050541516246,0.9266666666666666,0.9133333333333333,0.8866666666666667,139.0,138.0,12.0,11.0
38,39.0,0.5033333333333333,0.5018050541516246,0.9266666666666666,0.92,0.88,139.0,138.0,12.0,11.0
39,40.0,0.51,0.5054545454545455,0.9266666666666666,0.94,0.8866666666666667,139.0,136.0,14.0,11.0
40,41.0,0.5066666666666667,0.5036496350364964,0.92,0.9133333333333333,0.8866666666666667,138.0,136.0,14.0,12.0
41,42.0,0.49666666666666665,0.49818181818181817,0.9133333333333333,0.9333333333333333,0.9,137.0,138.0,12.0,13.0
42,43.0,0.5166666666666667,0.509090909090909,0.9333333333333333,0.9333333333333333,0.9,140.0,135.0,15.0,10.0
43,44.0,0.5166666666666667,0.509090909090909,0.9333333333333333,0.9333333333333333,0.9,140.0,135.0,15.0,10.0
44,45.0,0.5166666666666667,0.509090909090909,0.9333333333333333,0.9333333333333333,0.9,140.0,135.0,15.0,10.0
45,46.0,0.5166666666666667,0.5090252707581228,0.94,0.94,0.8733333333333333,141.0,136.0,14.0,9.0
46,47.0,0.5166666666666667,0.5090252707581228,0.94,0.9466666666666667,0.8666666666666667,141.0,136.0,14.0,9.0
47,48.0,0.5266666666666666,0.5141843971631206,0.9666666666666667,0.94,0.8266666666666667,145.0,137.0,13.0,5.0
48,49.0,0.52,0.5106382978723404,0.96,0.9133333333333333,0.8533333333333334,144.0,138.0,12.0,6.0
49,50.0,0.5366666666666666,0.519434628975265,0.98,0.9266666666666666,0.88,147.0,136.0,14.0,3.0
50,51.0,0.5166666666666667,0.5092250922509225,0.92,0.9266666666666666,0.88,138.0,133.0,17.0,12.0
51,52.0,0.5166666666666667,0.5092250922509225,0.92,0.9266666666666666,0.88,138.0,133.0,17.0,12.0
52,53.0,0.5366666666666666,0.519434628975265,0.98,0.9266666666666666,0.86,147.0,136.0,14.0,3.0
53,54.0,0.52,0.5107142857142857,0.9533333333333334,0.92,0.8733333333333333,143.0,137.0,13.0,7.0
54,55.0,0.5333333333333333,0.5176056338028169,0.98,0.9266666666666666,0.8533333333333334,147.0,137.0,13.0,3.0
55,56.0,0.5166666666666667,0.5090252707581228,0.94,0.9266666666666666,0.8733333333333333,141.0,136.0,14.0,9.0
56,57.0,0.5233333333333333,0.5126353790613718,0.9466666666666667,0.9266666666666666,0.8466666666666667,142.0,135.0,15.0,8.0
57,58.0,0.5266666666666666,0.5143884892086331,0.9533333333333334,0.9066666666666666,0.8733333333333333,143.0,135.0,15.0,7.0
58,59.0,0.5233333333333333,0.5125448028673835,0.9533333333333334,0.8866666666666667,0.8066666666666666,143.0,136.0,14.0,7.0
59,60.0,0.5333333333333333,0.5179856115107914,0.96,0.92,0.84,144.0,134.0,16.0,6.0
60,61.0,0.55,0.5266903914590747,0.9866666666666667,0.9333333333333333,0.84,148.0,133.0,17.0,2.0
61,62.0,0.55,0.5266903914590747,0.9866666666666667,0.9133333333333333,0.8333333333333334,148.0,133.0,17.0,2.0
62,63.0,0.5333333333333333,0.5179856115107914,0.96,0.8733333333333333,0.84,144.0,134.0,16.0,6.0
63,64.0,0.54,0.5220588235294118,0.9466666666666667,0.9,0.8733333333333333,142.0,130.0,20.0,8.0
64,65.0,0.54,0.5220588235294118,0.9466666666666667,0.9,0.8533333333333334,142.0,130.0,20.0,8.0
65,66.0,0.53,0.516245487364621,0.9533333333333334,0.9133333333333333,0.8333333333333334,143.0,134.0,16.0,7.0
66,67.0,0.53,0.5160142348754448,0.9666666666666667,0.8466666666666667,0.7666666666666667,145.0,136.0,14.0,5.0
67,68.0,0.5366666666666666,0.5230125523012552,0.8333333333333334,0.8466666666666667,0.7666666666666667,125.0,114.0,36.0,25.0
68,69.0,0.5333333333333333,0.5181159420289855,0.9533333333333334,0.8666666666666667,0.7866666666666666,143.0,133.0,17.0,7.0
69,70.0,0.5466666666666666,0.5255474452554745,0.96,0.92,0.7933333333333333,144.0,130.0,20.0,6.0
70,71.0,0.5466666666666666,0.5255474452554745,0.96,0.8866666666666667,0.8066666666666666,144.0,130.0,20.0,6.0
71,72.0,0.54,0.5234375,0.8933333333333333,0.8866666666666667,0.8066666666666666,134.0,122.0,28.0,16.0
72,73.0,0.5614617940199336,0.5335689045936396,1.0,0.86,0.76,150.0,132.0,18.0,0.0
73,74.0,0.5466666666666666,0.5255474452554745,0.96,0.9066666666666666,0.8066666666666666,144.0,130.0,20.0,6.0
74,75.0,0.5614617940199336,0.5335689045936396,1.0,0.8533333333333334,0.7333333333333333,150.0,132.0,18.0,0.0
75,76.0,0.5366666666666666,0.519298245614035,0.9866666666666667,0.88,0.7733333333333333,148.0,137.0,13.0,2.0
76,77.0,0.5466666666666666,0.5255474452554745,0.96,0.8466666666666667,0.8066666666666666,144.0,130.0,20.0,6.0
77,78.0,0.5466666666666666,0.5255474452554745,0.96,0.84,0.7466666666666667,144.0,130.0,20.0,6.0
78,79.0,0.5266666666666666,0.5141843971631206,0.9666666666666667,0.8533333333333334,0.8066666666666666,145.0,137.0,13.0,5.0
79,80.0,0.5266666666666666,0.5141843971631206,0.9666666666666667,0.8,0.76,145.0,137.0,13.0,5.0
80,81.0,0.54,0.5252100840336135,0.8333333333333334,0.8,0.76,125.0,113.0,37.0,25.0
81,82.0,0.5466666666666666,0.5255474452554745,0.96,0.82,0.8133333333333334,144.0,130.0,20.0,6.0
82,83.0,0.5566666666666666,0.5306859205776173,0.98,0.92,0.8266666666666667,147.0,130.0,20.0,3.0
83,84.0,0.5466666666666666,0.5253623188405797,0.9666666666666667,0.9266666666666666,0.7933333333333333,145.0,131.0,19.0,5.0
84,85.0,0.54,0.5220588235294118,0.9466666666666667,0.88,0.7933333333333333,142.0,130.0,20.0,8.0
85,86.0,0.5466666666666666,0.5251798561151079,0.9733333333333334,0.8666666666666667,0.7933333333333333,146.0,132.0,18.0,4.0
86,87.0,0.5466666666666666,0.5253623188405797,0.9666666666666667,0.9066666666666666,0.7866666666666666,145.0,131.0,19.0,5.0
87,88.0,0.5366666666666666,0.5197132616487455,0.9666666666666667,0.8933333333333333,0.8466666666666667,145.0,134.0,16.0,5.0
88,89.0,0.5566666666666666,0.5306859205776173,0.98,0.9,0.82,147.0,130.0,20.0,3.0
89,90.0,0.55,0.5270758122743683,0.9733333333333334,0.8333333333333334,0.7666666666666667,146.0,131.0,19.0,4.0
90,91.0,0.52,0.512396694214876,0.8266666666666667,0.8333333333333334,0.7666666666666667,124.0,118.0,32.0,26.0
91,92.0,0.52,0.512396694214876,0.8266666666666667,0.8333333333333334,0.7666666666666667,124.0,118.0,32.0,26.0
92,93.0,0.55,0.5270758122743683,0.9733333333333334,0.8066666666666666,0.7066666666666667,146.0,131.0,19.0,4.0
93,94.0,0.54,0.5214285714285715,0.9733333333333334,0.8133333333333334,0.72,146.0,134.0,16.0,4.0
94,95.0,0.54,0.5215827338129496,0.9666666666666667,0.8266666666666667,0.7466666666666667,145.0,133.0,17.0,5.0
95,96.0,0.5566666666666666,0.5302491103202847,0.9933333333333333,0.8133333333333334,0.72,149.0,132.0,18.0,1.0
96,97.0,0.5433333333333333,0.5236363636363637,0.96,0.86,0.7733333333333333,144.0,131.0,19.0,6.0
97,98.0,0.5566666666666666,0.5302491103202847,0.9933333333333333,0.8466666666666667,0.7266666666666667,149.0,132.0,18.0,1.0
98,99.0,0.56,0.5384615384615384,0.84,0.8466666666666667,0.7266666666666667,126.0,108.0,42.0,24.0
