,epoch,acc,precision,recall,pred_acc_member,pred_acc_non_member,true_member,false_member,true_non_member,false_non_member
0,1.0,0.5166666666666667,0.5675675675675675,0.14,0.17333333333333334,0.16,21.0,16.0,134.0,129.0
1,2.0,0.5066666666666667,0.52,0.17333333333333334,0.17333333333333334,0.16,26.0,24.0,126.0,124.0
2,3.0,0.5033333333333333,0.5021097046413502,0.7933333333333333,0.8133333333333334,0.8333333333333334,119.0,118.0,32.0,31.0
3,4.0,0.49,0.4939271255060729,0.8133333333333334,0.8133333333333334,0.8333333333333334,122.0,125.0,25.0,28.0
4,5.0,0.5066666666666667,0.5040650406504065,0.8266666666666667,0.8333333333333334,0.84,124.0,122.0,28.0,26.0
5,6.0,0.5,0.5,0.84,0.86,0.8933333333333333,126.0,126.0,24.0,24.0
6,7.0,0.5066666666666667,0.5040650406504065,0.8266666666666667,0.84,0.88,124.0,122.0,28.0,26.0
7,8.0,0.5066666666666667,0.5040650406504065,0.8266666666666667,0.8466666666666667,0.88,124.0,122.0,28.0,26.0
8,9.0,0.47333333333333333,0.4846153846153846,0.84,0.8466666666666667,0.88,126.0,134.0,16.0,24.0
9,10.0,0.48,0.48854961832061067,0.8533333333333334,0.8733333333333333,0.9066666666666666,128.0,134.0,16.0,22.0
10,11.0,0.47333333333333333,0.4849624060150376,0.86,0.8733333333333333,0.9066666666666666,129.0,137.0,13.0,21.0
11,12.0,0.5033333333333333,0.5020080321285141,0.8333333333333334,0.86,0.86,125.0,124.0,26.0,25.0
12,13.0,0.5266666666666666,0.5181818181818182,0.76,0.8266666666666667,0.7866666666666666,114.0,106.0,44.0,36.0
13,14.0,0.5266666666666666,0.5181818181818182,0.76,0.84,0.8133333333333334,114.0,106.0,44.0,36.0
14,15.0,0.4766666666666667,0.48659003831417624,0.8466666666666667,0.8533333333333334,0.8733333333333333,127.0,134.0,16.0,23.0
15,16.0,0.5033333333333333,0.5020080321285141,0.8333333333333334,0.8666666666666667,0.88,125.0,124.0,26.0,25.0
16,17.0,0.5,0.5,0.8666666666666667,0.86,0.8733333333333333,130.0,130.0,20.0,20.0
17,18.0,0.5133333333333333,0.508130081300813,0.8333333333333334,0.8533333333333334,0.86,125.0,121.0,29.0,25.0
18,19.0,0.4766666666666667,0.48659003831417624,0.8466666666666667,0.82,0.8466666666666667,127.0,134.0,16.0,23.0
19,20.0,0.48,0.4880952380952381,0.82,0.82,0.8466666666666667,123.0,129.0,21.0,27.0
20,21.0,0.49,0.4942084942084942,0.8533333333333334,0.8333333333333334,0.8733333333333333,128.0,131.0,19.0,22.0
21,22.0,0.48333333333333334,0.490272373540856,0.84,0.8333333333333334,0.8733333333333333,126.0,131.0,19.0,24.0
22,23.0,0.55,0.5423728813559322,0.64,0.8066666666666666,0.86,96.0,81.0,69.0,54.0
23,24.0,0.5166666666666667,0.5294117647058824,0.3,0.8066666666666666,0.8333333333333334,45.0,40.0,110.0,105.0
24,25.0,0.5233333333333333,0.5148936170212766,0.8066666666666666,0.84,0.8933333333333333,121.0,114.0,36.0,29.0
25,26.0,0.5133333333333333,0.524390243902439,0.2866666666666667,0.8,0.7933333333333333,43.0,39.0,111.0,107.0
26,27.0,0.5266666666666666,0.5246913580246914,0.5666666666666667,0.84,0.8466666666666667,85.0,77.0,73.0,65.0
27,28.0,0.49333333333333335,0.4962121212121212,0.8733333333333333,0.8533333333333334,0.9,131.0,133.0,17.0,19.0
28,29.0,0.49666666666666665,0.4981132075471698,0.88,0.86,0.9,132.0,133.0,17.0,18.0
29,30.0,0.49666666666666665,0.4981132075471698,0.88,0.86,0.9,132.0,133.0,17.0,18.0
30,31.0,0.48,0.48863636363636365,0.86,0.86,0.9,129.0,135.0,15.0,21.0
31,32.0,0.5133333333333333,0.5077519379844961,0.8733333333333333,0.88,0.9066666666666666,131.0,127.0,23.0,19.0
32,33.0,0.4866666666666667,0.4925373134328358,0.88,0.88,0.9066666666666666,132.0,136.0,14.0,18.0
33,34.0,0.49666666666666665,0.49818181818181817,0.9133333333333333,0.9133333333333333,0.9266666666666666,137.0,138.0,12.0,13.0
34,35.0,0.49,0.49454545454545457,0.9066666666666666,0.9133333333333333,0.9266666666666666,136.0,139.0,11.0,14.0
35,36.0,0.49666666666666665,0.49818181818181817,0.9133333333333333,0.9066666666666666,0.9266666666666666,137.0,138.0,12.0,13.0
36,37.0,0.49333333333333335,0.4962121212121212,0.8733333333333333,0.9066666666666666,0.9066666666666666,131.0,133.0,17.0,19.0
37,38.0,0.49333333333333335,0.4963768115942029,0.9133333333333333,0.9066666666666666,0.8933333333333333,137.0,139.0,11.0,13.0
38,39.0,0.49333333333333335,0.4963768115942029,0.9133333333333333,0.9,0.9066666666666666,137.0,139.0,11.0,13.0
39,40.0,0.5,0.5,0.86,0.9266666666666666,0.9466666666666667,129.0,129.0,21.0,21.0
40,41.0,0.48,0.488,0.8133333333333334,0.86,0.8866666666666667,122.0,128.0,22.0,28.0
41,42.0,0.49333333333333335,0.4962121212121212,0.8733333333333333,0.9133333333333333,0.9133333333333333,131.0,133.0,17.0,19.0
42,43.0,0.49333333333333335,0.4963768115942029,0.9133333333333333,0.9133333333333333,0.9133333333333333,137.0,139.0,11.0,13.0
43,44.0,0.49333333333333335,0.4963768115942029,0.9133333333333333,0.9133333333333333,0.9133333333333333,137.0,139.0,11.0,13.0
44,45.0,0.49333333333333335,0.4963768115942029,0.9133333333333333,0.9133333333333333,0.9133333333333333,137.0,139.0,11.0,13.0
45,46.0,0.5,0.5,0.38666666666666666,0.8533333333333334,0.8733333333333333,58.0,58.0,92.0,92.0
46,47.0,0.5,0.5,0.38666666666666666,0.8666666666666667,0.8933333333333333,58.0,58.0,92.0,92.0
47,48.0,0.49666666666666665,0.49794238683127573,0.8066666666666666,0.8666666666666667,0.9,121.0,122.0,28.0,29.0
48,49.0,0.48,0.48880597014925375,0.8733333333333333,0.88,0.88,131.0,137.0,13.0,19.0
49,50.0,0.48,0.48854961832061067,0.8533333333333334,0.8666666666666667,0.88,128.0,134.0,16.0,22.0
50,51.0,0.49,0.49429657794676807,0.8666666666666667,0.8666666666666667,0.88,130.0,133.0,17.0,20.0
51,52.0,0.49,0.49429657794676807,0.8666666666666667,0.8666666666666667,0.88,130.0,133.0,17.0,20.0
52,53.0,0.48,0.48854961832061067,0.8533333333333334,0.8733333333333333,0.8866666666666667,128.0,134.0,16.0,22.0
53,54.0,0.4866666666666667,0.49280575539568344,0.9133333333333333,0.8933333333333333,0.9066666666666666,137.0,141.0,9.0,13.0
54,55.0,0.48,0.4881889763779528,0.8266666666666667,0.8533333333333334,0.8666666666666667,124.0,130.0,20.0,26.0
55,56.0,0.5,0.5,0.38,0.86,0.8,57.0,57.0,93.0,93.0
56,57.0,0.5133333333333333,0.5086206896551724,0.7866666666666666,0.9066666666666666,0.8666666666666667,118.0,114.0,36.0,32.0
57,58.0,0.5066666666666667,0.5036764705882353,0.9133333333333333,0.9,0.9,137.0,135.0,15.0,13.0
58,59.0,0.4666666666666667,0.4537037037037037,0.32666666666666666,0.8266666666666667,0.8733333333333333,49.0,59.0,91.0,101.0
59,60.0,0.51,0.5060728744939271,0.8333333333333334,0.8733333333333333,0.9066666666666666,125.0,122.0,28.0,25.0
60,61.0,0.53,0.5169811320754717,0.9133333333333333,0.8866666666666667,0.9,137.0,128.0,22.0,13.0
61,62.0,0.53,0.5169811320754717,0.9133333333333333,0.8866666666666667,0.9,137.0,128.0,22.0,13.0
62,63.0,0.51,0.5060728744939271,0.8333333333333334,0.8733333333333333,0.8933333333333333,125.0,122.0,28.0,25.0
63,64.0,0.4866666666666667,0.492,0.82,0.8733333333333333,0.8733333333333333,123.0,127.0,23.0,27.0
64,65.0,0.4866666666666667,0.492,0.82,0.8733333333333333,0.9,123.0,127.0,23.0,27.0
65,66.0,0.5,0.5,0.3,0.8333333333333334,0.8133333333333334,45.0,45.0,105.0,105.0
66,67.0,0.5033333333333333,0.5029585798816568,0.5666666666666667,0.84,0.8533333333333334,85.0,84.0,66.0,65.0
67,68.0,0.48333333333333334,0.49019607843137253,0.8333333333333334,0.84,0.8533333333333334,125.0,130.0,20.0,25.0
68,69.0,0.49,0.4794520547945205,0.23333333333333334,0.8133333333333334,0.8466666666666667,35.0,38.0,112.0,115.0
69,70.0,0.49333333333333335,0.4928571428571429,0.46,0.86,0.8733333333333333,69.0,71.0,79.0,81.0
70,71.0,0.49333333333333335,0.4928571428571429,0.46,0.86,0.8933333333333333,69.0,71.0,79.0,81.0
71,72.0,0.48,0.48846153846153845,0.8466666666666667,0.86,0.8933333333333333,127.0,133.0,17.0,23.0
72,73.0,0.4766666666666667,0.4866920152091255,0.8533333333333334,0.8666666666666667,0.9133333333333333,128.0,135.0,15.0,22.0
73,74.0,0.49333333333333335,0.4928571428571429,0.46,0.8666666666666667,0.8866666666666667,69.0,71.0,79.0,81.0
74,75.0,0.4766666666666667,0.4866920152091255,0.8533333333333334,0.8666666666666667,0.9066666666666666,128.0,135.0,15.0,22.0
75,76.0,0.49,0.4944237918215613,0.8866666666666667,0.8866666666666667,0.9066666666666666,133.0,136.0,14.0,17.0
76,77.0,0.49,0.49387755102040815,0.8066666666666666,0.86,0.92,121.0,124.0,26.0,29.0
77,78.0,0.49,0.49387755102040815,0.8066666666666666,0.88,0.92,121.0,124.0,26.0,29.0
78,79.0,0.47333333333333333,0.48507462686567165,0.8666666666666667,0.9066666666666666,0.9133333333333333,130.0,138.0,12.0,20.0
79,80.0,0.47333333333333333,0.48507462686567165,0.8666666666666667,0.9066666666666666,0.92,130.0,138.0,12.0,20.0
80,81.0,0.49,0.49454545454545457,0.9066666666666666,0.9066666666666666,0.92,136.0,139.0,11.0,14.0
81,82.0,0.49,0.49387755102040815,0.8066666666666666,0.8466666666666667,0.9,121.0,124.0,26.0,29.0
82,83.0,0.49,0.49387755102040815,0.8066666666666666,0.8733333333333333,0.9,121.0,124.0,26.0,29.0
83,84.0,0.5166666666666667,0.5099601593625498,0.8533333333333334,0.86,0.8866666666666667,128.0,123.0,27.0,22.0
84,85.0,0.4666666666666667,0.48046875,0.82,0.8866666666666667,0.9266666666666666,123.0,133.0,17.0,27.0
85,86.0,0.48,0.48905109489051096,0.8933333333333333,0.9,0.9266666666666666,134.0,140.0,10.0,16.0
86,87.0,0.5166666666666667,0.5099601593625498,0.8533333333333334,0.86,0.9,128.0,123.0,27.0,22.0
87,88.0,0.5,0.5,0.8933333333333333,0.9133333333333333,0.9266666666666666,134.0,134.0,16.0,16.0
88,89.0,0.49666666666666665,0.4981132075471698,0.88,0.88,0.9066666666666666,132.0,133.0,17.0,18.0
89,90.0,0.4866666666666667,0.4925925925925926,0.8866666666666667,0.9,0.8933333333333333,133.0,137.0,13.0,17.0
90,91.0,0.5066666666666667,0.5037037037037037,0.9066666666666666,0.9,0.8933333333333333,136.0,134.0,16.0,14.0
91,92.0,0.5066666666666667,0.5037037037037037,0.9066666666666666,0.9,0.8933333333333333,136.0,134.0,16.0,14.0
92,93.0,0.4866666666666667,0.4925925925925926,0.8866666666666667,0.92,0.8933333333333333,133.0,137.0,13.0,17.0
93,94.0,0.48333333333333334,0.49070631970260226,0.88,0.9066666666666666,0.9066666666666666,132.0,137.0,13.0,18.0
94,95.0,0.5066666666666667,0.503731343283582,0.9,0.92,0.9266666666666666,135.0,133.0,17.0,15.0
95,96.0,0.4766666666666667,0.48,0.56,0.86,0.8666666666666667,84.0,91.0,59.0,66.0
96,97.0,0.51,0.5057034220532319,0.8866666666666667,0.94,0.9066666666666666,133.0,130.0,20.0,17.0
97,98.0,0.4766666666666667,0.48,0.56,0.8733333333333333,0.86,84.0,91.0,59.0,66.0
98,99.0,0.51,0.5057034220532319,0.8866666666666667,0.8733333333333333,0.86,133.0,130.0,20.0,17.0
99,100.0,0.5033333333333333,0.5018050541516246,0.9266666666666666,0.94,0.92,139.0,138.0,12.0,11.0
