,epoch,acc,precision,recall,pred_acc_member,pred_acc_non_member,true_member,false_member,true_non_member,false_non_member
0,1.0,0.5166666666666667,0.5675675675675675,0.14,0.17333333333333334,0.16,21.0,16.0,134.0,129.0
1,2.0,0.5066666666666667,0.52,0.17333333333333334,0.17333333333333334,0.16,26.0,24.0,126.0,124.0
2,3.0,0.47333333333333333,0.4826086956521739,0.74,0.8,0.8266666666666667,111.0,119.0,31.0,39.0
3,4.0,0.49333333333333335,0.4959349593495935,0.8133333333333334,0.8,0.8266666666666667,122.0,124.0,26.0,28.0
4,5.0,0.47,0.48148148148148145,0.78,0.82,0.86,117.0,126.0,24.0,33.0
5,6.0,0.4633333333333333,0.4769874476987448,0.76,0.8266666666666667,0.8466666666666667,114.0,125.0,25.0,36.0
6,7.0,0.47,0.48148148148148145,0.78,0.8333333333333334,0.8533333333333334,117.0,126.0,24.0,33.0
7,8.0,0.47,0.48148148148148145,0.78,0.84,0.86,117.0,126.0,24.0,33.0
8,9.0,0.49333333333333335,0.49606299212598426,0.84,0.84,0.86,126.0,128.0,22.0,24.0
9,10.0,0.49,0.49411764705882355,0.84,0.8733333333333333,0.8933333333333333,126.0,129.0,21.0,24.0
10,11.0,0.4766666666666667,0.4867924528301887,0.86,0.8733333333333333,0.8933333333333333,129.0,136.0,14.0,21.0
11,12.0,0.4766666666666667,0.48659003831417624,0.8466666666666667,0.88,0.8866666666666667,127.0,134.0,16.0,23.0
12,13.0,0.4866666666666667,0.49224806201550386,0.8466666666666667,0.88,0.88,127.0,131.0,19.0,23.0
13,14.0,0.4866666666666667,0.49224806201550386,0.8466666666666667,0.8866666666666667,0.8866666666666667,127.0,131.0,19.0,23.0
14,15.0,0.48,0.4881889763779528,0.8266666666666667,0.8466666666666667,0.9,124.0,130.0,20.0,26.0
15,16.0,0.4766666666666667,0.48659003831417624,0.8466666666666667,0.9,0.9,127.0,134.0,16.0,23.0
16,17.0,0.4766666666666667,0.4864864864864865,0.84,0.86,0.8933333333333333,126.0,133.0,17.0,24.0
17,18.0,0.4866666666666667,0.49242424242424243,0.8666666666666667,0.8866666666666667,0.9066666666666666,130.0,134.0,16.0,20.0
18,19.0,0.48,0.4881889763779528,0.8266666666666667,0.8666666666666667,0.9066666666666666,124.0,130.0,20.0,26.0
19,20.0,0.4766666666666667,0.4867924528301887,0.86,0.8666666666666667,0.9066666666666666,129.0,136.0,14.0,21.0
20,21.0,0.48333333333333334,0.4904214559386973,0.8533333333333334,0.8733333333333333,0.9133333333333333,128.0,133.0,17.0,22.0
21,22.0,0.4766666666666667,0.4868913857677903,0.8666666666666667,0.8733333333333333,0.9133333333333333,130.0,137.0,13.0,20.0
22,23.0,0.49,0.4945054945054945,0.9,0.9266666666666666,0.9333333333333333,135.0,138.0,12.0,15.0
23,24.0,0.49666666666666665,0.49814126394052044,0.8933333333333333,0.9133333333333333,0.9133333333333333,134.0,135.0,15.0,16.0
24,25.0,0.49333333333333335,0.49635036496350365,0.9066666666666666,0.9333333333333333,0.94,136.0,138.0,12.0,14.0
25,26.0,0.51,0.5055762081784386,0.9066666666666666,0.9266666666666666,0.92,136.0,133.0,17.0,14.0
26,27.0,0.5,0.5,0.9066666666666666,0.9133333333333333,0.9133333333333333,136.0,136.0,14.0,14.0
27,28.0,0.4866666666666667,0.4925925925925926,0.8866666666666667,0.9133333333333333,0.9133333333333333,133.0,137.0,13.0,17.0
28,29.0,0.4866666666666667,0.4925373134328358,0.88,0.9266666666666666,0.9133333333333333,132.0,136.0,14.0,18.0
29,30.0,0.4866666666666667,0.4925373134328358,0.88,0.9266666666666666,0.9133333333333333,132.0,136.0,14.0,18.0
30,31.0,0.5066666666666667,0.5036231884057971,0.9266666666666666,0.9266666666666666,0.9133333333333333,139.0,137.0,13.0,11.0
31,32.0,0.49,0.4944237918215613,0.8866666666666667,0.9266666666666666,0.9333333333333333,133.0,136.0,14.0,17.0
32,33.0,0.5033333333333333,0.5017921146953405,0.9333333333333333,0.9266666666666666,0.9333333333333333,140.0,139.0,11.0,10.0
33,34.0,0.51,0.5054151624548736,0.9333333333333333,0.9133333333333333,0.8866666666666667,140.0,137.0,13.0,10.0
34,35.0,0.51,0.5055762081784386,0.9066666666666666,0.9133333333333333,0.8866666666666667,136.0,133.0,17.0,14.0
35,36.0,0.51,0.5054151624548736,0.9333333333333333,0.88,0.9133333333333333,140.0,137.0,13.0,10.0
36,37.0,0.5066666666666667,0.5036496350364964,0.92,0.9333333333333333,0.9066666666666666,138.0,136.0,14.0,12.0
37,38.0,0.5066666666666667,0.5035971223021583,0.9333333333333333,0.9133333333333333,0.92,140.0,138.0,12.0,10.0
38,39.0,0.5066666666666667,0.5035971223021583,0.9333333333333333,0.9066666666666666,0.8866666666666667,140.0,138.0,12.0,10.0
39,40.0,0.5166666666666667,0.509090909090909,0.9333333333333333,0.9,0.88,140.0,135.0,15.0,10.0
40,41.0,0.5066666666666667,0.5036496350364964,0.92,0.9133333333333333,0.9066666666666666,138.0,136.0,14.0,12.0
41,42.0,0.5066666666666667,0.5036496350364964,0.92,0.9333333333333333,0.92,138.0,136.0,14.0,12.0
42,43.0,0.5133333333333333,0.5071942446043165,0.94,0.9333333333333333,0.92,141.0,137.0,13.0,9.0
43,44.0,0.5133333333333333,0.5071942446043165,0.94,0.9333333333333333,0.92,141.0,137.0,13.0,9.0
44,45.0,0.5133333333333333,0.5071942446043165,0.94,0.9333333333333333,0.92,141.0,137.0,13.0,9.0
45,46.0,0.5,0.5,0.94,0.9333333333333333,0.9066666666666666,141.0,141.0,9.0,9.0
46,47.0,0.5,0.5,0.94,0.9333333333333333,0.9133333333333333,141.0,141.0,9.0,9.0
47,48.0,0.5133333333333333,0.5072463768115942,0.9333333333333333,0.94,0.9,140.0,136.0,14.0,10.0
48,49.0,0.51,0.5054545454545455,0.9266666666666666,0.9466666666666667,0.9,139.0,136.0,14.0,11.0
49,50.0,0.51,0.5055350553505535,0.9133333333333333,0.9266666666666666,0.8933333333333333,137.0,134.0,16.0,13.0
50,51.0,0.5166666666666667,0.5091575091575091,0.9266666666666666,0.9266666666666666,0.8933333333333333,139.0,134.0,16.0,11.0
51,52.0,0.5166666666666667,0.5091575091575091,0.9266666666666666,0.9266666666666666,0.8933333333333333,139.0,134.0,16.0,11.0
52,53.0,0.51,0.5055350553505535,0.9133333333333333,0.9266666666666666,0.9,137.0,134.0,16.0,13.0
53,54.0,0.51,0.5052264808362369,0.9666666666666667,0.9333333333333333,0.9,145.0,142.0,8.0,5.0
54,55.0,0.5033333333333333,0.5018050541516246,0.9266666666666666,0.9666666666666667,0.9266666666666666,139.0,138.0,12.0,11.0
55,56.0,0.5066666666666667,0.5036496350364964,0.92,0.9133333333333333,0.8933333333333333,138.0,136.0,14.0,12.0
56,57.0,0.52,0.5108695652173914,0.94,0.9066666666666666,0.8933333333333333,141.0,135.0,15.0,9.0
57,58.0,0.52,0.5106382978723404,0.96,0.9466666666666667,0.9133333333333333,144.0,138.0,12.0,6.0
58,59.0,0.5133333333333333,0.5070422535211268,0.96,0.94,0.9,144.0,140.0,10.0,6.0
59,60.0,0.5066666666666667,0.5036231884057971,0.9266666666666666,0.94,0.8866666666666667,139.0,137.0,13.0,11.0
60,61.0,0.5066666666666667,0.5037593984962406,0.8933333333333333,0.9133333333333333,0.9,134.0,132.0,18.0,16.0
61,62.0,0.5066666666666667,0.5037593984962406,0.8933333333333333,0.9266666666666666,0.9133333333333333,134.0,132.0,18.0,16.0
62,63.0,0.5066666666666667,0.5036231884057971,0.9266666666666666,0.94,0.9133333333333333,139.0,137.0,13.0,11.0
63,64.0,0.51,0.5056179775280899,0.9,0.9333333333333333,0.9,135.0,132.0,18.0,15.0
64,65.0,0.51,0.5056179775280899,0.9,0.94,0.9066666666666666,135.0,132.0,18.0,15.0
65,66.0,0.5333333333333333,0.5178571428571429,0.9666666666666667,0.94,0.9,145.0,135.0,15.0,5.0
66,67.0,0.5066666666666667,0.5035714285714286,0.94,0.94,0.8866666666666667,141.0,139.0,11.0,9.0
67,68.0,0.53,0.5164835164835165,0.94,0.94,0.8866666666666667,141.0,132.0,18.0,9.0
68,69.0,0.5266666666666666,0.5142857142857142,0.96,0.9666666666666667,0.9066666666666666,144.0,136.0,14.0,6.0
69,70.0,0.5,0.5,0.94,0.94,0.9133333333333333,141.0,141.0,9.0,9.0
70,71.0,0.5,0.5,0.94,0.9,0.8866666666666667,141.0,141.0,9.0,9.0
71,72.0,0.5066666666666667,0.503731343283582,0.9,0.9,0.8866666666666667,135.0,133.0,17.0,15.0
72,73.0,0.5233333333333333,0.5124555160142349,0.96,0.9466666666666667,0.9066666666666666,144.0,137.0,13.0,6.0
73,74.0,0.5,0.5,0.94,0.9333333333333333,0.8933333333333333,141.0,141.0,9.0,9.0
74,75.0,0.5233333333333333,0.5124555160142349,0.96,0.9466666666666667,0.9066666666666666,144.0,137.0,13.0,6.0
75,76.0,0.5133333333333333,0.5071942446043165,0.94,0.9266666666666666,0.9066666666666666,141.0,137.0,13.0,9.0
76,77.0,0.5266666666666666,0.5141843971631206,0.9666666666666667,0.9266666666666666,0.8866666666666667,145.0,137.0,13.0,5.0
77,78.0,0.5266666666666666,0.5141843971631206,0.9666666666666667,0.9133333333333333,0.8866666666666667,145.0,137.0,13.0,5.0
78,79.0,0.53,0.5161290322580645,0.96,0.9133333333333333,0.9133333333333333,144.0,135.0,15.0,6.0
79,80.0,0.53,0.5161290322580645,0.96,0.9333333333333333,0.8733333333333333,144.0,135.0,15.0,6.0
80,81.0,0.52,0.5111111111111111,0.92,0.9333333333333333,0.8733333333333333,138.0,132.0,18.0,12.0
81,82.0,0.5266666666666666,0.5141843971631206,0.9666666666666667,0.9266666666666666,0.88,145.0,137.0,13.0,5.0
82,83.0,0.51,0.5053763440860215,0.94,0.9133333333333333,0.9,141.0,138.0,12.0,9.0
83,84.0,0.49666666666666665,0.49814126394052044,0.8933333333333333,0.94,0.88,134.0,135.0,15.0,16.0
84,85.0,0.5066666666666667,0.5035460992907801,0.9466666666666667,0.9133333333333333,0.8933333333333333,142.0,140.0,10.0,8.0
85,86.0,0.5333333333333333,0.5176056338028169,0.98,0.9266666666666666,0.8866666666666667,147.0,137.0,13.0,3.0
86,87.0,0.49666666666666665,0.49814126394052044,0.8933333333333333,0.96,0.8666666666666667,134.0,135.0,15.0,16.0
87,88.0,0.54,0.5214285714285715,0.9733333333333334,0.9333333333333333,0.8733333333333333,146.0,134.0,16.0,4.0
88,89.0,0.5133333333333333,0.5073529411764706,0.92,0.9533333333333334,0.88,138.0,134.0,16.0,12.0
89,90.0,0.5366666666666666,0.5197132616487455,0.9666666666666667,0.9066666666666666,0.8733333333333333,145.0,134.0,16.0,5.0
90,91.0,0.5133333333333333,0.5074626865671642,0.9066666666666666,0.9066666666666666,0.8733333333333333,136.0,132.0,18.0,14.0
91,92.0,0.5133333333333333,0.5074626865671642,0.9066666666666666,0.9066666666666666,0.8733333333333333,136.0,132.0,18.0,14.0
92,93.0,0.5366666666666666,0.5197132616487455,0.9666666666666667,0.94,0.9,145.0,134.0,16.0,5.0
93,94.0,0.5366666666666666,0.519298245614035,0.9866666666666667,0.9333333333333333,0.8866666666666667,148.0,137.0,13.0,2.0
94,95.0,0.5233333333333333,0.5123674911660777,0.9666666666666667,0.9466666666666667,0.88,145.0,138.0,12.0,5.0
95,96.0,0.5166666666666667,0.508833922261484,0.96,0.9333333333333333,0.8733333333333333,144.0,139.0,11.0,6.0
96,97.0,0.49666666666666665,0.4982078853046595,0.9266666666666666,0.9533333333333334,0.8866666666666667,139.0,140.0,10.0,11.0
97,98.0,0.5166666666666667,0.508833922261484,0.96,0.9266666666666666,0.86,144.0,139.0,11.0,6.0
98,99.0,0.5333333333333333,0.5186567164179104,0.9266666666666666,0.9266666666666666,0.86,139.0,129.0,21.0,11.0
