,epoch,acc,precision,recall,pred_acc_member,pred_acc_non_member,true_member,false_member,true_non_member,false_non_member
0,1.0,0.5166666666666667,0.5675675675675675,0.14,0.17333333333333334,0.16,21.0,16.0,134.0,129.0
1,2.0,0.5066666666666667,0.52,0.17333333333333334,0.17333333333333334,0.16,26.0,24.0,126.0,124.0
2,3.0,0.47333333333333333,0.4824561403508772,0.7333333333333333,0.8,0.82,110.0,118.0,32.0,40.0
3,4.0,0.4866666666666667,0.4918032786885246,0.8,0.8,0.82,120.0,124.0,26.0,30.0
4,5.0,0.4766666666666667,0.48559670781893005,0.7866666666666666,0.8333333333333334,0.8533333333333334,118.0,125.0,25.0,32.0
5,6.0,0.45666666666666667,0.4732510288065844,0.7666666666666667,0.8266666666666667,0.8466666666666667,115.0,128.0,22.0,35.0
6,7.0,0.4766666666666667,0.48559670781893005,0.7866666666666666,0.8333333333333334,0.8666666666666667,118.0,125.0,25.0,32.0
7,8.0,0.4766666666666667,0.48559670781893005,0.7866666666666666,0.8333333333333334,0.86,118.0,125.0,25.0,32.0
8,9.0,0.49,0.49407114624505927,0.8333333333333334,0.8333333333333334,0.86,125.0,128.0,22.0,25.0
9,10.0,0.4766666666666667,0.48638132295719844,0.8333333333333334,0.88,0.92,125.0,132.0,18.0,25.0
10,11.0,0.4766666666666667,0.48698884758364314,0.8733333333333333,0.88,0.92,131.0,138.0,12.0,19.0
11,12.0,0.49666666666666665,0.4980694980694981,0.86,0.8866666666666667,0.8733333333333333,129.0,130.0,20.0,21.0
12,13.0,0.51,0.5057915057915058,0.8733333333333333,0.8866666666666667,0.8933333333333333,131.0,128.0,22.0,19.0
13,14.0,0.51,0.5057915057915058,0.8733333333333333,0.8933333333333333,0.8933333333333333,131.0,128.0,22.0,19.0
14,15.0,0.48,0.4881889763779528,0.8266666666666667,0.84,0.8866666666666667,124.0,130.0,20.0,26.0
15,16.0,0.49666666666666665,0.4980694980694981,0.86,0.8933333333333333,0.9066666666666666,129.0,130.0,20.0,21.0
16,17.0,0.4766666666666667,0.48638132295719844,0.8333333333333334,0.84,0.9,125.0,132.0,18.0,25.0
17,18.0,0.49,0.49433962264150944,0.8733333333333333,0.8733333333333333,0.92,131.0,134.0,16.0,19.0
18,19.0,0.48,0.4881889763779528,0.8266666666666667,0.88,0.8866666666666667,124.0,130.0,20.0,26.0
19,20.0,0.4866666666666667,0.4925373134328358,0.88,0.88,0.8866666666666667,132.0,136.0,14.0,18.0
20,21.0,0.48333333333333334,0.49049429657794674,0.86,0.8733333333333333,0.9066666666666666,129.0,134.0,16.0,21.0
21,22.0,0.49333333333333335,0.49624060150375937,0.88,0.8733333333333333,0.9066666666666666,132.0,134.0,16.0,18.0
22,23.0,0.5066666666666667,0.5036496350364964,0.92,0.8933333333333333,0.88,138.0,136.0,14.0,12.0
23,24.0,0.52,0.5112781954887218,0.9066666666666666,0.8866666666666667,0.8733333333333333,136.0,130.0,20.0,14.0
24,25.0,0.49666666666666665,0.49818181818181817,0.9133333333333333,0.9133333333333333,0.9066666666666666,137.0,138.0,12.0,13.0
25,26.0,0.5166666666666667,0.5094339622641509,0.9,0.9,0.8866666666666667,135.0,130.0,20.0,15.0
26,27.0,0.49333333333333335,0.4962121212121212,0.8733333333333333,0.8933333333333333,0.8733333333333333,131.0,133.0,17.0,19.0
27,28.0,0.4866666666666667,0.49242424242424243,0.8666666666666667,0.9133333333333333,0.8933333333333333,130.0,134.0,16.0,20.0
28,29.0,0.49666666666666665,0.49814126394052044,0.8933333333333333,0.8866666666666667,0.92,134.0,135.0,15.0,16.0
29,30.0,0.49666666666666665,0.49814126394052044,0.8933333333333333,0.9,0.92,134.0,135.0,15.0,16.0
30,31.0,0.49,0.4945054945054945,0.9,0.9,0.92,135.0,138.0,12.0,15.0
31,32.0,0.49666666666666665,0.49818181818181817,0.9133333333333333,0.9133333333333333,0.9066666666666666,137.0,138.0,12.0,13.0
32,33.0,0.5066666666666667,0.5036496350364964,0.92,0.9133333333333333,0.9066666666666666,138.0,136.0,14.0,12.0
33,34.0,0.49666666666666665,0.498220640569395,0.9333333333333333,0.9266666666666666,0.9066666666666666,140.0,141.0,9.0,10.0
34,35.0,0.51,0.5054545454545455,0.9266666666666666,0.9266666666666666,0.9066666666666666,139.0,136.0,14.0,11.0
35,36.0,0.49666666666666665,0.498220640569395,0.9333333333333333,0.92,0.9066666666666666,140.0,141.0,9.0,10.0
36,37.0,0.49,0.4943820224719101,0.88,0.94,0.9066666666666666,132.0,135.0,15.0,18.0
37,38.0,0.5,0.5,0.9133333333333333,0.9266666666666666,0.9266666666666666,137.0,137.0,13.0,13.0
38,39.0,0.5,0.5,0.9133333333333333,0.9266666666666666,0.9133333333333333,137.0,137.0,13.0,13.0
39,40.0,0.5,0.5,0.92,0.92,0.9066666666666666,138.0,138.0,12.0,12.0
40,41.0,0.4866666666666667,0.4925373134328358,0.88,0.92,0.9,132.0,136.0,14.0,18.0
41,42.0,0.49,0.4943820224719101,0.88,0.9133333333333333,0.92,132.0,135.0,15.0,18.0
42,43.0,0.49666666666666665,0.4981684981684982,0.9066666666666666,0.9133333333333333,0.92,136.0,137.0,13.0,14.0
43,44.0,0.49666666666666665,0.4981684981684982,0.9066666666666666,0.9133333333333333,0.92,136.0,137.0,13.0,14.0
44,45.0,0.49666666666666665,0.4981684981684982,0.9066666666666666,0.9133333333333333,0.92,136.0,137.0,13.0,14.0
45,46.0,0.5233333333333333,0.5123674911660777,0.9666666666666667,0.9133333333333333,0.9133333333333333,145.0,138.0,12.0,5.0
46,47.0,0.5233333333333333,0.5123674911660777,0.9666666666666667,0.9466666666666667,0.8933333333333333,145.0,138.0,12.0,5.0
47,48.0,0.49,0.4944237918215613,0.8866666666666667,0.94,0.9066666666666666,133.0,136.0,14.0,17.0
48,49.0,0.49666666666666665,0.49814126394052044,0.8933333333333333,0.9666666666666667,0.8933333333333333,134.0,135.0,15.0,16.0
49,50.0,0.5,0.5,0.8866666666666667,0.9466666666666667,0.9066666666666666,133.0,133.0,17.0,17.0
50,51.0,0.5233333333333333,0.5126353790613718,0.9466666666666667,0.9466666666666667,0.9066666666666666,142.0,135.0,15.0,8.0
51,52.0,0.5233333333333333,0.5126353790613718,0.9466666666666667,0.9466666666666667,0.9066666666666666,142.0,135.0,15.0,8.0
52,53.0,0.5,0.5,0.8866666666666667,0.9466666666666667,0.9,133.0,133.0,17.0,17.0
53,54.0,0.52,0.5105633802816901,0.9666666666666667,0.9133333333333333,0.9,145.0,139.0,11.0,5.0
54,55.0,0.53,0.5160142348754448,0.9666666666666667,0.9466666666666667,0.88,145.0,136.0,14.0,5.0
55,56.0,0.5133333333333333,0.5075187969924813,0.9,0.8933333333333333,0.8933333333333333,135.0,131.0,19.0,15.0
56,57.0,0.5066666666666667,0.503731343283582,0.9,0.9133333333333333,0.8933333333333333,135.0,133.0,17.0,15.0
57,58.0,0.5233333333333333,0.5127272727272727,0.94,0.9133333333333333,0.9066666666666666,141.0,134.0,16.0,9.0
58,59.0,0.5166666666666667,0.5088967971530249,0.9533333333333334,0.9133333333333333,0.9,143.0,138.0,12.0,7.0
59,60.0,0.49,0.49429657794676807,0.8666666666666667,0.94,0.8466666666666667,130.0,133.0,17.0,20.0
60,61.0,0.49,0.49429657794676807,0.8666666666666667,0.9533333333333334,0.8666666666666667,130.0,133.0,17.0,20.0
61,62.0,0.49,0.49429657794676807,0.8666666666666667,0.9266666666666666,0.8466666666666667,130.0,133.0,17.0,20.0
62,63.0,0.49,0.49429657794676807,0.8666666666666667,0.94,0.86,130.0,133.0,17.0,20.0
63,64.0,0.5033333333333333,0.5019607843137255,0.8533333333333334,0.9266666666666666,0.8533333333333334,128.0,127.0,23.0,22.0
64,65.0,0.5033333333333333,0.5019607843137255,0.8533333333333334,0.9133333333333333,0.8866666666666667,128.0,127.0,23.0,22.0
65,66.0,0.53,0.5171102661596958,0.9066666666666666,0.9333333333333333,0.8733333333333333,136.0,127.0,23.0,14.0
66,67.0,0.54,0.5212765957446809,0.98,0.9133333333333333,0.8333333333333334,147.0,135.0,15.0,3.0
67,68.0,0.5366666666666666,0.5210727969348659,0.9066666666666666,0.9133333333333333,0.8333333333333334,136.0,125.0,25.0,14.0
68,69.0,0.52,0.5113636363636364,0.9,0.92,0.8733333333333333,135.0,129.0,21.0,15.0
69,70.0,0.5,0.5,0.8933333333333333,0.8933333333333333,0.8933333333333333,134.0,134.0,16.0,16.0
70,71.0,0.5,0.5,0.8933333333333333,0.9133333333333333,0.8733333333333333,134.0,134.0,16.0,16.0
71,72.0,0.5233333333333333,0.5130111524163569,0.92,0.9133333333333333,0.8733333333333333,138.0,131.0,19.0,12.0
72,73.0,0.53,0.5160142348754448,0.9666666666666667,0.94,0.8666666666666667,145.0,136.0,14.0,5.0
73,74.0,0.5,0.5,0.8933333333333333,0.88,0.8933333333333333,134.0,134.0,16.0,16.0
74,75.0,0.53,0.5160142348754448,0.9666666666666667,0.9133333333333333,0.8333333333333334,145.0,136.0,14.0,5.0
75,76.0,0.53,0.5157894736842106,0.98,0.9266666666666666,0.84,147.0,138.0,12.0,3.0
76,77.0,0.53,0.5169811320754717,0.9133333333333333,0.8933333333333333,0.8466666666666667,137.0,128.0,22.0,13.0
77,78.0,0.53,0.5169811320754717,0.9133333333333333,0.8933333333333333,0.8333333333333334,137.0,128.0,22.0,13.0
78,79.0,0.5266666666666666,0.5145985401459854,0.94,0.9266666666666666,0.8333333333333334,141.0,133.0,17.0,9.0
79,80.0,0.5266666666666666,0.5145985401459854,0.94,0.9333333333333333,0.8333333333333334,141.0,133.0,17.0,9.0
80,81.0,0.5466666666666666,0.5259259259259259,0.9466666666666667,0.9333333333333333,0.8333333333333334,142.0,128.0,22.0,8.0
81,82.0,0.53,0.5169811320754717,0.9133333333333333,0.94,0.84,137.0,128.0,22.0,13.0
82,83.0,0.4766666666666667,0.48638132295719844,0.8333333333333334,0.8933333333333333,0.8466666666666667,125.0,132.0,18.0,25.0
83,84.0,0.49,0.49407114624505927,0.8333333333333334,0.8466666666666667,0.84,125.0,128.0,22.0,25.0
84,85.0,0.48,0.4881889763779528,0.8266666666666667,0.9066666666666666,0.86,124.0,130.0,20.0,26.0
85,86.0,0.53,0.516245487364621,0.9533333333333334,0.9133333333333333,0.8466666666666667,143.0,134.0,16.0,7.0
86,87.0,0.49,0.49407114624505927,0.8333333333333334,0.86,0.8533333333333334,125.0,128.0,22.0,25.0
87,88.0,0.5466666666666666,0.5257352941176471,0.9533333333333334,0.9133333333333333,0.8066666666666666,143.0,129.0,21.0,7.0
88,89.0,0.5366666666666666,0.52,0.9533333333333334,0.9133333333333333,0.8666666666666667,143.0,132.0,18.0,7.0
89,90.0,0.55,0.5278810408921933,0.9466666666666667,0.8866666666666667,0.8,142.0,127.0,23.0,8.0
90,91.0,0.5533333333333333,0.531496062992126,0.9,0.8866666666666667,0.8,135.0,119.0,31.0,15.0
91,92.0,0.5533333333333333,0.531496062992126,0.9,0.8866666666666667,0.8,135.0,119.0,31.0,15.0
92,93.0,0.55,0.5278810408921933,0.9466666666666667,0.9,0.7866666666666666,142.0,127.0,23.0,8.0
93,94.0,0.55,0.5268817204301075,0.98,0.9066666666666666,0.7933333333333333,147.0,132.0,18.0,3.0
94,95.0,0.5166666666666667,0.5094339622641509,0.9,0.9133333333333333,0.8066666666666666,135.0,130.0,20.0,15.0
95,96.0,0.54,0.5212765957446809,0.98,0.92,0.8333333333333334,147.0,135.0,15.0,3.0
96,97.0,0.5,0.5,0.8266666666666667,0.92,0.8933333333333333,124.0,124.0,26.0,26.0
97,98.0,0.54,0.5212765957446809,0.98,0.9,0.8666666666666667,147.0,135.0,15.0,3.0
98,99.0,0.5233333333333333,0.5132075471698113,0.9066666666666666,0.9,0.8666666666666667,136.0,129.0,21.0,14.0
