,epoch,participant,test_loss,test_accuracy,train_accuracy
0,0.0,g,0.0393933033086977,0.09841160220994476,0.0
1,0.0,0.0,0.0393337307497859,0.09921875,0.0
2,0.0,1.0,0.039510571584105494,0.10625,0.0
3,0.0,2.0,0.039420115761458874,0.1015625,0.0
4,0.0,3.0,0.0392884660512209,0.1,0.0
5,0.0,4.0,0.03935897797346115,0.09375,0.0
6,0.0,5.0,0.03934558779001236,0.103125,0.0
7,0.0,6.0,0.03945279698818922,0.09375,0.0
8,0.0,7.0,0.03946699481457472,0.0875,0.0
9,0.0,8.0,0.03930529169738293,0.1,0.0
10,1.0,1.0,0.009880481497384607,0.7796875,0.6903125
11,1.0,8.0,0.009697723272256552,0.7796875,0.6834375
12,1.0,7.0,0.009103961265645921,0.784375,0.70578125
13,1.0,3.0,0.008963193488307297,0.790625,0.68046875
14,1.0,2.0,0.008234588941559196,0.80234375,0.6990625
15,1.0,0.0,0.008628586237318814,0.80703125,0.69921875
16,1.0,4.0,0.008437911351211368,0.80703125,0.69828125
17,1.0,g,0.00981055693032004,0.7761567679558011,0.6937946677207947
18,2.0,3.0,0.009433827339671552,0.80390625,0.67875
19,2.0,6.0,0.009196796105243266,0.7859375,0.70671875
20,2.0,1.0,0.009416165389120578,0.7765625,0.67421875
21,2.0,2.0,0.007350535388104618,0.82890625,0.795625
22,2.0,0.0,0.00856649458874017,0.79765625,0.6840625
23,2.0,7.0,0.008584389183670282,0.78984375,0.70015625
24,2.0,4.0,0.008584340242668987,0.79609375,0.68453125
25,2.0,5.0,0.009245913894847035,0.7984375,0.69515625
26,2.0,g,0.009453808011497417,0.7763294198895028,0.7024023532867432
27,3.0,5.0,0.009461748390458524,0.796875,0.68
28,3.0,2.0,0.008196646091528237,0.81875,0.68046875
29,3.0,7.0,0.008057395950891078,0.80703125,0.81390625
30,3.0,3.0,0.008562426595017315,0.8078125,0.68203125
31,3.0,0.0,0.008482648199424148,0.79375,0.68140625
32,3.0,1.0,0.009839835693128407,0.78125,0.67921875
33,3.0,4.0,0.009325585677288473,0.7859375,0.67921875
34,3.0,g,0.01126164909019984,0.7251381215469613,0.6994643211364746
35,4.0,2.0,0.006551716895774007,0.84921875,0.81484375
36,4.0,7.0,0.006781290331855416,0.828125,0.82921875
