,epoch,participant,test_loss,test_accuracy,train_accuracy
0,0.0,g,0.038883464647590786,0.09659875690607735,0.0
1,0.0,0.0,0.0390758128836751,0.1015625,0.0
2,0.0,1.0,0.038668683357536794,0.09609375,0.0
3,0.0,2.0,0.03859692867845297,0.103125,0.0
4,0.0,3.0,0.03905108310282231,0.10390625,0.0
5,0.0,4.0,0.038886542245745656,0.0890625,0.0
6,0.0,5.0,0.03876744974404574,0.0890625,0.0
7,0.0,6.0,0.03905999697744846,0.09765625,0.0
8,0.0,7.0,0.038927965052425864,0.0890625,0.0
9,0.0,8.0,0.03899209387600422,0.0984375,0.0
10,1.0,1.0,0.0023413021583110092,0.96640625,0.8203125
11,1.0,8.0,0.002893597609363496,0.95234375,0.8428125
12,1.0,7.0,0.002355984237510711,0.9578125,0.85
13,1.0,3.0,0.0024877928488422187,0.96015625,0.84859375
14,1.0,2.0,0.0025029547046869992,0.96015625,0.8328125
15,1.0,0.0,0.0033074680657591672,0.9453125,0.8471875
16,1.0,4.0,0.0025712658651173117,0.95546875,0.8328125
17,1.0,g,0.0042829908641538895,0.9380179558011049,0.8392187356948853
18,2.0,3.0,0.0028420768096111713,0.946875,0.81234375
19,2.0,6.0,0.0022271874360740183,0.965625,0.82390625
20,2.0,1.0,0.0024447261763270943,0.9609375,0.8075
21,2.0,2.0,0.0019091421534540131,0.97109375,0.956875
22,2.0,0.0,0.0026756452745757995,0.9578125,0.81640625
23,2.0,7.0,0.00258144375984557,0.9515625,0.809375
24,2.0,4.0,0.0028758138709235937,0.9515625,0.79875
25,2.0,5.0,0.003581396135268733,0.94765625,0.83671875
26,2.0,g,0.0026730341452189327,0.9519164364640884,0.8327343463897705
27,3.0,5.0,0.003154040337540209,0.9453125,0.821875
28,3.0,2.0,0.0024111542792525143,0.9703125,0.8125
29,3.0,7.0,0.002058007344021462,0.965625,0.95078125
30,3.0,3.0,0.0025756326329428704,0.95703125,0.8215625
31,3.0,0.0,0.0027684427914209664,0.95390625,0.820625
32,3.0,1.0,0.0026230535353533924,0.95625,0.79734375
33,3.0,4.0,0.0030990772182121875,0.94296875,0.80453125
34,3.0,g,0.003383729136703299,0.9388812154696132,0.8327455520629883
35,4.0,2.0,0.001713809632929042,0.9671875,0.958125
36,4.0,7.0,0.0013419251692539547,0.97734375,0.964375
37,4.0,1.0,0.0012338841443124693,0.97421875,0.96171875
38,4.0,3.0,0.0015013864176580682,0.97109375,0.95921875
39,4.0,4.0,0.0018877405993407593,0.95859375,0.9565625
40,4.0,5.0,0.003188120445702225,0.9453125,0.8109375
41,4.0,8.0,0.002770004200283438,0.9453125,0.81234375
42,4.0,0.0,0.0022404438903322445,0.96015625,0.950625
43,4.0,g,0.0015543488954780468,0.9703038674033149,0.9217382669448853
44,5.0,2.0,0.0018495815427741035,0.96953125,0.954375
45,5.0,3.0,0.0027039651991799473,0.95390625,0.82234375
46,5.0,7.0,0.0011319264929625205,0.978125,0.970625
47,5.0,4.0,0.002002647952758707,0.95859375,0.95328125
48,5.0,8.0,0.0031547105114441364,0.940625,0.81265625
49,5.0,0.0,0.001124626788077876,0.97734375,0.9696875
50,5.0,6.0,0.002574278530664742,0.95546875,0.80171875
51,5.0,g,0.0015056802537969187,0.9718577348066298,0.8978124856948853
52,6.0,4.0,0.0014585123513825237,0.96953125,0.96859375
53,6.0,6.0,0.0014062317728530615,0.975,0.95796875
54,6.0,8.0,0.001166029459272977,0.975,0.9753125
55,6.0,3.0,0.0025542259914800524,0.95859375,0.8259375
56,6.0,0.0,0.0009648656188801397,0.98203125,0.97171875
57,6.0,5.0,0.0014657454477855936,0.96875,0.96078125
58,6.0,7.0,0.0011098959723312874,0.9765625,0.9709375
59,6.0,g,0.0009081758450233868,0.9816988950276243,0.947321355342865
60,7.0,8.0,0.001697553445410449,0.96875,0.96546875
61,7.0,7.0,0.0010684896864404437,0.975,0.97796875
62,7.0,5.0,0.00173261848394759,0.965625,0.9596875
63,7.0,1.0,0.0009341090411908226,0.98125,0.97125
64,7.0,3.0,0.001572577975457534,0.96953125,0.9609375
65,7.0,6.0,0.0014511273213429377,0.9703125,0.96109375
66,7.0,4.0,0.001330992713337764,0.96953125,0.97578125
67,7.0,g,0.0008020693660593618,0.9832527624309392,0.9674553871154785
68,8.0,7.0,0.0010547686815698398,0.9765625,0.97953125
69,8.0,0.0,0.0009991301976697287,0.978125,0.97078125
70,8.0,2.0,0.001174369591899449,0.97890625,0.98328125
71,8.0,6.0,0.0015758682813611813,0.96953125,0.95921875
72,8.0,3.0,0.001301938737015007,0.9734375,0.969375
73,8.0,4.0,0.002049860975239426,0.95390625,0.95875
74,8.0,5.0,0.0009861348416961846,0.9796875,0.98328125
75,8.0,g,0.000840870746071624,0.9823031767955801,0.9720311760902405
76,9.0,6.0,0.000854930538116605,0.98359375,0.97984375
77,9.0,7.0,0.0014065128387301229,0.97578125,0.97203125
78,9.0,5.0,0.001112460406147875,0.97890625,0.97703125
79,9.0,8.0,0.0011319706678477814,0.975,0.98109375
80,9.0,4.0,0.0011848234091303312,0.97421875,0.9790625
81,9.0,1.0,0.0007102903604391031,0.98515625,0.9828125
