,epoch,acc,precision,recall,pred_acc_member,pred_acc_non_member,true_member,false_member,true_non_member,false_non_member
0,1.0,0.4983388704318937,0.5,0.006622516556291391,0.02,0.02,0.0,1.0,149.0,150.0
1,2.0,0.5,0.5,0.02,0.02,0.02,3.0,3.0,147.0,147.0
2,3.0,0.49333333333333335,0.375,0.02,0.02666666666666667,0.02666666666666667,3.0,5.0,145.0,147.0
3,4.0,0.5,0.5,0.02666666666666667,0.02666666666666667,0.02666666666666667,4.0,4.0,146.0,146.0
4,5.0,0.4866666666666667,0.3888888888888889,0.04666666666666667,0.04666666666666667,0.10666666666666667,7.0,11.0,139.0,143.0
5,6.0,0.4633333333333333,0.28,0.04666666666666667,0.04666666666666667,0.12,7.0,18.0,132.0,143.0
6,7.0,0.4866666666666667,0.3888888888888889,0.04666666666666667,0.04666666666666667,0.11333333333333333,7.0,11.0,139.0,143.0
7,8.0,0.4866666666666667,0.3888888888888889,0.04666666666666667,0.04666666666666667,0.11333333333333333,7.0,11.0,139.0,143.0
8,9.0,0.4666666666666667,0.2916666666666667,0.04666666666666667,0.04666666666666667,0.11333333333333333,7.0,17.0,133.0,143.0
9,10.0,0.45666666666666667,0.25925925925925924,0.04666666666666667,0.04,0.12,7.0,20.0,130.0,143.0
10,11.0,0.46,0.25,0.04,0.04,0.12,6.0,18.0,132.0,144.0
11,12.0,0.4633333333333333,0.358974358974359,0.09333333333333334,0.08,0.14,14.0,25.0,125.0,136.0
12,13.0,0.4633333333333333,0.36585365853658536,0.1,0.08666666666666667,0.17333333333333334,15.0,26.0,124.0,135.0
13,14.0,0.4633333333333333,0.36585365853658536,0.1,0.09333333333333334,0.17333333333333334,15.0,26.0,124.0,135.0
14,15.0,0.46,0.38,0.12666666666666668,0.17333333333333334,0.20666666666666667,19.0,31.0,119.0,131.0
15,16.0,0.4633333333333333,0.358974358974359,0.09333333333333334,0.07333333333333333,0.13333333333333333,14.0,25.0,125.0,136.0
16,17.0,0.4633333333333333,0.4098360655737705,0.16666666666666666,0.22,0.20666666666666667,25.0,36.0,114.0,125.0
17,18.0,0.46,0.35,0.09333333333333334,0.14,0.18666666666666668,14.0,26.0,124.0,136.0
18,19.0,0.46,0.38,0.12666666666666668,0.17333333333333334,0.18666666666666668,19.0,31.0,119.0,131.0
19,20.0,0.49333333333333335,0.48148148148148145,0.17333333333333334,0.17333333333333334,0.18666666666666668,26.0,28.0,122.0,124.0
20,21.0,0.49333333333333335,0.4857142857142857,0.22666666666666666,0.26,0.24,34.0,36.0,114.0,116.0
21,22.0,0.51,0.52,0.26,0.26,0.24,39.0,36.0,114.0,111.0
22,23.0,0.5133333333333333,0.5196078431372549,0.35333333333333333,0.37333333333333335,0.3333333333333333,53.0,49.0,101.0,97.0
23,24.0,0.51,0.514018691588785,0.36666666666666664,0.37333333333333335,0.36666666666666664,55.0,52.0,98.0,95.0
24,25.0,0.51,0.5151515151515151,0.34,0.3466666666666667,0.32666666666666666,51.0,48.0,102.0,99.0
25,26.0,0.5033333333333333,0.5047619047619047,0.35333333333333333,0.37333333333333335,0.3933333333333333,53.0,52.0,98.0,97.0
26,27.0,0.51,0.5135135135135135,0.38,0.4,0.41333333333333333,57.0,54.0,96.0,93.0
27,28.0,0.5033333333333333,0.5042016806722689,0.4,0.43333333333333335,0.44666666666666666,60.0,59.0,91.0,90.0
28,29.0,0.5133333333333333,0.5161290322580645,0.4266666666666667,0.44,0.4666666666666667,64.0,60.0,90.0,86.0
29,30.0,0.5133333333333333,0.5161290322580645,0.4266666666666667,0.44666666666666666,0.46,64.0,60.0,90.0,86.0
30,31.0,0.49333333333333335,0.49264705882352944,0.44666666666666666,0.44666666666666666,0.46,67.0,69.0,81.0,83.0
31,32.0,0.5166666666666667,0.5196850393700787,0.44,0.5,0.49333333333333335,66.0,61.0,89.0,84.0
32,33.0,0.5033333333333333,0.5033557046979866,0.5,0.5,0.49333333333333335,75.0,74.0,76.0,75.0
33,34.0,0.5133333333333333,0.5142857142857142,0.48,0.52,0.52,72.0,68.0,82.0,78.0
34,35.0,0.5,0.5,0.52,0.52,0.52,78.0,78.0,72.0,72.0
35,36.0,0.5133333333333333,0.5142857142857142,0.48,0.5333333333333333,0.5266666666666666,72.0,68.0,82.0,78.0
36,37.0,0.5033333333333333,0.5033557046979866,0.5,0.5933333333333334,0.5133333333333333,75.0,74.0,76.0,75.0
37,38.0,0.51,0.5102040816326531,0.5,0.5733333333333334,0.5066666666666667,75.0,72.0,78.0,75.0
38,39.0,0.51,0.5102040816326531,0.5,0.58,0.5066666666666667,75.0,72.0,78.0,75.0
39,40.0,0.5166666666666667,0.5172413793103449,0.5,0.5533333333333333,0.5066666666666667,75.0,70.0,80.0,75.0
40,41.0,0.5066666666666667,0.5066666666666667,0.5066666666666667,0.5866666666666667,0.5333333333333333,76.0,74.0,76.0,74.0
41,42.0,0.5033333333333333,0.5033557046979866,0.5,0.5866666666666667,0.52,75.0,74.0,76.0,75.0
42,43.0,0.5333333333333333,0.5301204819277109,0.5866666666666667,0.5866666666666667,0.52,88.0,78.0,72.0,62.0
43,44.0,0.5333333333333333,0.5301204819277109,0.5866666666666667,0.5866666666666667,0.52,88.0,78.0,72.0,62.0
44,45.0,0.5333333333333333,0.5301204819277109,0.5866666666666667,0.5866666666666667,0.52,88.0,78.0,72.0,62.0
45,46.0,0.5033333333333333,0.5031055900621118,0.54,0.62,0.56,81.0,80.0,70.0,69.0
46,47.0,0.5033333333333333,0.5031055900621118,0.54,0.62,0.56,81.0,80.0,70.0,69.0
47,48.0,0.5033333333333333,0.5029585798816568,0.5666666666666667,0.6333333333333333,0.5933333333333334,85.0,84.0,66.0,65.0
48,49.0,0.49666666666666665,0.4970414201183432,0.56,0.64,0.6133333333333333,84.0,85.0,65.0,66.0
49,50.0,0.51,0.5086705202312138,0.5866666666666667,0.6533333333333333,0.62,88.0,85.0,65.0,62.0
50,51.0,0.5166666666666667,0.5130890052356021,0.6533333333333333,0.6533333333333333,0.62,98.0,93.0,57.0,52.0
51,52.0,0.5166666666666667,0.5130890052356021,0.6533333333333333,0.6533333333333333,0.62,98.0,93.0,57.0,52.0
52,53.0,0.51,0.5086705202312138,0.5866666666666667,0.66,0.62,88.0,85.0,65.0,62.0
