,epoch,participant,test_loss,test_accuracy,train_accuracy
0,0.0,g,0.07199665010281255,0.008690354027706517,0.0
1,0.0,0.0,0.0720001301486735,0.00904224537037037,0.0
2,0.0,1.0,0.07200096602793093,0.008608217592592593,0.0
3,0.0,2.0,0.07198843846304549,0.008318865740740741,0.0
4,0.0,3.0,0.07199452275893202,0.008897569444444444,0.0
5,0.0,4.0,0.07199366190643222,0.009837962962962963,0.0
6,0.0,5.0,0.07199748684824617,0.008463541666666666,0.0
7,0.0,6.0,0.07199806568247301,0.008101851851851851,0.0
8,0.0,7.0,0.071997061026869,0.008101851851851851,0.0
9,0.0,8.0,0.07200031082525297,0.008391203703703705,0.0
10,1.0,1.0,0.047062663844338166,0.17997685185185186,0.07429108796296297
11,1.0,8.0,0.04929513661880736,0.14134837962962962,0.0625
12,1.0,7.0,0.047439702010403074,0.16399016203703703,0.06966145833333333
13,1.0,3.0,0.04665067638443024,0.18764467592592593,0.0728443287037037
14,1.0,2.0,0.04739982924527592,0.16572627314814814,0.0700954861111111
15,1.0,0.0,0.04800651158654579,0.1732494212962963,0.06561053240740741
16,1.0,4.0,0.04629664502486035,0.20348668981481483,0.07233796296296297
17,1.0,g,,0.0126106336582863,0.06962012499570847
18,2.0,3.0,0.05749284545028651,0.08514178240740741,0.03464988425925926
19,2.0,6.0,0.04865115349767385,0.14554398148148148,0.06879340277777778
20,2.0,1.0,0.05695936978898115,0.0993923611111111,0.031828703703703706
21,2.0,2.0,,0.01273148148148148,0.013527199074074073
22,2.0,0.0,0.05960990866232249,0.07725694444444445,0.026041666666666668
23,2.0,7.0,0.0544444277399668,0.11082175925925926,0.038628472222222224
24,2.0,4.0,0.05392882003690357,0.1265190972222222,0.04014756944444445
25,2.0,5.0,0.04685342298061759,0.1655815972222222,0.07385706018518519
26,2.0,g,,0.0126106336582863,0.0409342460334301
27,3.0,5.0,0.05802005615637258,0.09975405092592593,0.033854166666666664
28,3.0,2.0,,0.01273148148148148,0.013454861111111112
29,3.0,7.0,,0.012225115740740741,0.011067708333333334
30,3.0,3.0,0.055915335676184404,0.10127314814814815,0.03783275462962963
31,3.0,0.0,0.05326055662913455,0.10315393518518519,0.04173900462962963
32,3.0,1.0,0.05131551231844006,0.12152777777777778,0.048032407407407406
33,3.0,4.0,0.059675763516376414,0.08550347222222222,0.029079861111111112
34,3.0,g,,0.0126106336582863,0.03072296269237995
35,4.0,2.0,,0.01273148148148148,0.013527199074074073
36,4.0,7.0,,0.012225115740740741,0.011067708333333334
37,4.0,1.0,,0.012803819444444444,0.01244212962962963
38,4.0,3.0,,0.014105902777777778,0.01439525462962963
39,4.0,4.0,,0.01294849537037037,0.011140046296296295
40,4.0,5.0,0.05740846962564521,0.07711226851851852,0.03233506944444445
41,4.0,8.0,0.05376095000516485,0.10850694444444445,0.043619791666666664
42,4.0,0.0,,0.01273148148148148,0.013888888888888888
43,4.0,g,,0.0126106336582863,0.019052011892199516
44,5.0,2.0,,0.01273148148148148,0.013527199074074073
45,5.0,3.0,,0.014105902777777778,0.014178240740740741
46,5.0,7.0,,0.012225115740740741,0.011067708333333334
47,5.0,4.0,,0.01294849537037037,0.011140046296296295
48,5.0,8.0,0.05943956505507231,0.0806568287037037,0.03045428240740741
49,5.0,0.0,,0.01273148148148148,0.013888888888888888
50,5.0,6.0,0.053573888536818604,0.11176215277777778,0.04325810185185185
51,5.0,g,,0.0126106336582863,0.019644925370812416
52,6.0,4.0,,0.01294849537037037,0.011140046296296295
53,6.0,6.0,,0.011357060185185185,0.011212384259259259
54,6.0,8.0,,0.01265914351851852,0.010850694444444444
55,6.0,3.0,,0.014105902777777778,0.014178240740740741
56,6.0,0.0,,0.01273148148148148,0.013888888888888888
57,6.0,5.0,,0.011574074074074073,0.01461226851851852
58,6.0,7.0,,0.012225115740740741,0.011067708333333334
59,6.0,g,,0.0126106336582863,0.012421461753547192
60,7.0,8.0,,0.01265914351851852,0.010850694444444444
61,7.0,7.0,,0.012225115740740741,0.011067708333333334
62,7.0,5.0,,0.011574074074074073,0.01461226851851852
63,7.0,1.0,,0.012803819444444444,0.01244212962962963
64,7.0,3.0,,0.014105902777777778,0.01439525462962963
65,7.0,6.0,,0.011357060185185185,0.011212384259259259
66,7.0,4.0,,0.01294849537037037,0.011140046296296295
67,7.0,g,,0.0126106336582863,0.01224578358232975
68,8.0,7.0,,0.012225115740740741,0.011067708333333334
69,8.0,0.0,,0.01273148148148148,0.013888888888888888
70,8.0,2.0,,0.01273148148148148,0.013527199074074073
71,8.0,6.0,,0.011357060185185185,0.011212384259259259
72,8.0,3.0,,0.014105902777777778,0.01439525462962963
73,8.0,4.0,,0.01294849537037037,0.011140046296296295
74,8.0,5.0,,0.011574074074074073,0.01461226851851852
75,8.0,g,,0.0126106336582863,0.01283482275903225
76,9.0,6.0,,0.011357060185185185,0.011212384259259259
77,9.0,7.0,,0.012225115740740741,0.011067708333333334
78,9.0,5.0,,0.011574074074074073,0.01461226851851852
79,9.0,8.0,,0.01265914351851852,0.010850694444444444
80,9.0,4.0,,0.01294849537037037,0.011140046296296295
81,9.0,1.0,,0.012803819444444444,0.01244212962962963
82,9.0,2.0,,0.01273148148148148,0.013527199074074073
83,9.0,0.0,,0.01273148148148148,0.013888888888888888
84,9.0,g,,0.0126106336582863,0.012342664413154125
85,10.0,5.0,,0.011574074074074073,0.01461226851851852
86,10.0,7.0,,0.012225115740740741,0.011067708333333334
87,10.0,0.0,,0.01273148148148148,0.013888888888888888
88,10.0,2.0,,0.01273148148148148,0.013527199074074073
89,10.0,6.0,,0.011357060185185185,0.011212384259259259
90,10.0,4.0,,0.01294849537037037,0.011140046296296295
91,10.0,1.0,,0.012803819444444444,0.01244212962962963
92,10.0,g,,0.0126106336582863,0.012555803172290325
93,11.0,4.0,,0.01294849537037037,0.011140046296296295
94,11.0,6.0,,0.011357060185185185,0.011212384259259259
95,11.0,5.0,,0.011574074074074073,0.01461226851851852
96,11.0,1.0,,0.012803819444444444,0.01244212962962963
97,11.0,0.0,,0.01273148148148148,0.013888888888888888
98,11.0,8.0,,0.01265914351851852,0.010850694444444444
99,11.0,7.0,,0.012225115740740741,0.011067708333333334
100,11.0,2.0,,0.01273148148148148,0.013527199074074073
101,11.0,g,,0.0126106336582863,0.012342666275799274
102,12.0,5.0,,0.011574074074074073,0.01461226851851852
103,12.0,2.0,,0.01273148148148148,0.013527199074074073
104,12.0,6.0,,0.011357060185185185,0.011212384259259259
105,12.0,1.0,,0.012803819444444444,0.01244212962962963
106,12.0,4.0,,0.01294849537037037,0.011140046296296295
107,12.0,0.0,,0.01273148148148148,0.013888888888888888
108,12.0,8.0,,0.01265914351851852,0.010850694444444444
109,12.0,g,,0.0126106336582863,0.012524801306426525
110,13.0,2.0,,0.01273148148148148,0.013527199074074073
111,13.0,4.0,,0.01294849537037037,0.011140046296296295
112,13.0,7.0,,0.012225115740740741,0.011067708333333334
113,13.0,8.0,,0.01265914351851852,0.010850694444444444
114,13.0,6.0,,0.011357060185185185,0.011212384259259259
115,13.0,1.0,,0.012803819444444444,0.01244212962962963
116,13.0,3.0,,0.014105902777777778,0.01439525462962963
117,13.0,g,,0.0126106336582863,0.01209077425301075
118,14.0,0.0,,0.01273148148148148,0.013888888888888888
119,14.0,6.0,,0.011357060185185185,0.011212384259259259
120,14.0,4.0,,0.01294849537037037,0.011140046296296295
121,14.0,3.0,,0.014105902777777778,0.01439525462962963
122,14.0,7.0,,0.012225115740740741,0.011067708333333334
123,14.0,5.0,,0.011574074074074073,0.01461226851851852
124,14.0,2.0,,0.01273148148148148,0.013527199074074073
125,14.0,g,,0.0126106336582863,0.012834821827709675
126,15.0,0.0,,0.01273148148148148,0.013888888888888888
127,15.0,3.0,,0.014105902777777778,0.01439525462962963
128,15.0,1.0,,0.012803819444444444,0.01244212962962963
129,15.0,5.0,,0.011574074074074073,0.01461226851851852
130,15.0,6.0,,0.011357060185185185,0.011212384259259259
131,15.0,2.0,,0.01273148148148148,0.013527199074074073
132,15.0,7.0,,0.012225115740740741,0.011067708333333334
133,15.0,g,,0.0126106336582863,0.013020833022892475
134,16.0,1.0,,0.012803819444444444,0.01244212962962963
135,16.0,0.0,,0.01273148148148148,0.013888888888888888
136,16.0,6.0,,0.011357060185185185,0.011212384259259259
137,16.0,2.0,,0.01273148148148148,0.013527199074074073
138,16.0,4.0,,0.01294849537037037,0.011140046296296295
139,16.0,7.0,,0.012225115740740741,0.011067708333333334
140,16.0,3.0,,0.014105902777777778,0.01439525462962963
141,16.0,g,,0.0126106336582863,0.012524801306426525
142,17.0,7.0,,0.012225115740740741,0.011067708333333334
143,17.0,2.0,,0.01273148148148148,0.013527199074074073
144,17.0,5.0,,0.011574074074074073,0.01461226851851852
145,17.0,3.0,,0.014105902777777778,0.01439525462962963
146,17.0,1.0,,0.012803819444444444,0.01244212962962963
147,17.0,0.0,,0.01273148148148148,0.013888888888888888
148,17.0,6.0,,0.011357060185185185,0.011212384259259259
149,17.0,g,,0.0126106336582863,0.013020833022892475
150,18.0,7.0,,0.012225115740740741,0.011067708333333334
151,18.0,1.0,,0.012803819444444444,0.01244212962962963
152,18.0,4.0,,0.01294849537037037,0.011140046296296295
153,18.0,6.0,,0.011357060185185185,0.011212384259259259
154,18.0,0.0,,0.01273148148148148,0.013888888888888888
155,18.0,2.0,,0.01273148148148148,0.013527199074074073
156,18.0,3.0,,0.014105902777777778,0.01439525462962963
157,18.0,g,,0.0126106336582863,0.012524801306426525
158,19.0,4.0,,0.01294849537037037,0.011140046296296295
159,19.0,5.0,,0.011574074074074073,0.01461226851851852
160,19.0,3.0,,0.014105902777777778,0.01439525462962963
161,19.0,1.0,,0.012803819444444444,0.01244212962962963
162,19.0,6.0,,0.011357060185185185,0.011212384259259259
163,19.0,2.0,,0.01273148148148148,0.013527199074074073
164,19.0,0.0,,0.01273148148148148,0.013888888888888888
165,19.0,g,,0.0126106336582863,0.013031166978180408
166,20.0,2.0,,0.01273148148148148,0.013527199074074073
167,20.0,5.0,,0.011574074074074073,0.01461226851851852
168,20.0,3.0,,0.014105902777777778,0.01439525462962963
169,20.0,7.0,,0.012225115740740741,0.011067708333333334
170,20.0,0.0,,0.01273148148148148,0.013888888888888888
171,20.0,6.0,,0.011357060185185185,0.011212384259259259
172,20.0,1.0,,0.012803819444444444,0.01244212962962963
173,20.0,8.0,,0.01265914351851852,0.010850694444444444
174,20.0,g,,0.0126106336582863,0.01274956576526165
175,21.0,4.0,,0.01294849537037037,0.011140046296296295
176,21.0,3.0,,0.014105902777777778,0.01439525462962963
177,21.0,0.0,,0.01273148148148148,0.013888888888888888
178,21.0,2.0,,0.01273148148148148,0.013527199074074073
179,21.0,7.0,,0.012225115740740741,0.011067708333333334
180,21.0,8.0,,0.01265914351851852,0.010850694444444444
181,21.0,5.0,,0.011574074074074073,0.01461226851851852
182,21.0,g,,0.0126106336582863,0.012783152051270008
183,22.0,0.0,,0.01273148148148148,0.013888888888888888
184,22.0,4.0,,0.01294849537037037,0.011140046296296295
185,22.0,8.0,,0.01265914351851852,0.010850694444444444
186,22.0,3.0,,0.014105902777777778,0.01439525462962963
187,22.0,2.0,,0.01273148148148148,0.013527199074074073
188,22.0,5.0,,0.011574074074074073,0.01461226851851852
189,22.0,7.0,,0.012225115740740741,0.011067708333333334
190,22.0,6.0,,0.011357060185185185,0.011212384259259259
191,22.0,g,,0.0126106336582863,0.0125868059694767
192,23.0,8.0,,0.01265914351851852,0.010850694444444444
193,23.0,1.0,,0.012803819444444444,0.01244212962962963
194,23.0,5.0,,0.011574074074074073,0.01461226851851852
195,23.0,6.0,,0.011357060185185185,0.011212384259259259
196,23.0,3.0,,0.014105902777777778,0.01439525462962963
197,23.0,4.0,,0.01294849537037037,0.011140046296296295
198,23.0,2.0,,0.01273148148148148,0.013527199074074073
199,23.0,g,,0.0126106336582863,0.012597140856087208
200,24.0,1.0,,0.012803819444444444,0.01244212962962963
201,24.0,8.0,,0.01265914351851852,0.010850694444444444
202,24.0,2.0,,0.01273148148148148,0.013527199074074073
203,24.0,4.0,,0.01294849537037037,0.011140046296296295
204,24.0,3.0,,0.014105902777777778,0.01439525462962963
205,24.0,5.0,,0.011574074074074073,0.01461226851851852
206,24.0,0.0,,0.01273148148148148,0.013888888888888888
207,24.0,g,,0.0126106336582863,0.012979497201740742
208,25.0,4.0,,0.01294849537037037,0.011140046296296295
209,25.0,5.0,,0.011574074074074073,0.01461226851851852
210,25.0,3.0,,0.014105902777777778,0.01439525462962963
211,25.0,0.0,,0.01273148148148148,0.013888888888888888
212,25.0,1.0,,0.012803819444444444,0.01244212962962963
213,25.0,2.0,,0.01273148148148148,0.013527199074074073
214,25.0,8.0,,0.01265914351851852,0.010850694444444444
215,25.0,g,,0.0126106336582863,0.012979497201740742
216,26.0,0.0,,0.01273148148148148,0.013888888888888888
217,26.0,1.0,,0.012803819444444444,0.01244212962962963
218,26.0,7.0,,0.012225115740740741,0.011067708333333334
219,26.0,5.0,,0.011574074074074073,0.01461226851851852
220,26.0,6.0,,0.011357060185185185,0.011212384259259259
221,26.0,4.0,,0.01294849537037037,0.011140046296296295
222,26.0,8.0,,0.01265914351851852,0.010850694444444444
223,26.0,g,,0.0126106336582863,0.012173445895314217
224,27.0,5.0,,0.011574074074074073,0.01461226851851852
225,27.0,0.0,,0.01273148148148148,0.013888888888888888
226,27.0,4.0,,0.01294849537037037,0.011140046296296295
227,27.0,8.0,,0.01265914351851852,0.010850694444444444
228,27.0,3.0,,0.014105902777777778,0.01439525462962963
229,27.0,6.0,,0.011357060185185185,0.011212384259259259
230,27.0,1.0,,0.012803819444444444,0.01244212962962963
231,27.0,g,,0.0126106336582863,0.012648810632526875
232,28.0,6.0,,0.011357060185185185,0.011212384259259259
233,28.0,0.0,,0.01273148148148148,0.013888888888888888
234,28.0,1.0,,0.012803819444444444,0.01244212962962963
235,28.0,5.0,,0.011574074074074073,0.01461226851851852
236,28.0,4.0,,0.01294849537037037,0.011140046296296295
237,28.0,3.0,,0.014105902777777778,0.01439525462962963
238,28.0,7.0,,0.012225115740740741,0.011067708333333334
239,28.0,g,,0.0126106336582863,0.012679810635745525
240,29.0,6.0,,0.011357060185185185,0.011212384259259259
241,29.0,8.0,,0.01265914351851852,0.010850694444444444
242,29.0,5.0,,0.011574074074074073,0.01461226851851852
243,29.0,3.0,,0.014105902777777778,0.01439525462962963
244,29.0,1.0,,0.012803819444444444,0.01244212962962963
245,29.0,7.0,,0.012225115740740741,0.011067708333333334
246,29.0,0.0,,0.01273148148148148,0.013888888888888888
247,29.0,g,,0.0126106336582863,0.012638474814593792
248,30.0,7.0,,0.012225115740740741,0.011067708333333334
249,30.0,4.0,,0.01294849537037037,0.011140046296296295
250,30.0,1.0,,0.012803819444444444,0.01244212962962963
251,30.0,8.0,,0.01265914351851852,0.010850694444444444
252,30.0,3.0,,0.014105902777777778,0.01439525462962963
253,30.0,2.0,,0.01273148148148148,0.013527199074074073
254,30.0,6.0,,0.011357060185185185,0.011212384259259259
255,30.0,g,,0.0126106336582863,0.01209077425301075
256,31.0,5.0,,0.011574074074074073,0.01461226851851852
257,31.0,0.0,,0.01273148148148148,0.013888888888888888
258,31.0,2.0,,0.01273148148148148,0.013527199074074073
259,31.0,3.0,,0.014105902777777778,0.01439525462962963
260,31.0,1.0,,0.012803819444444444,0.01244212962962963
261,31.0,7.0,,0.012225115740740741,0.011067708333333334
262,31.0,6.0,,0.011357060185185185,0.011212384259259259
263,31.0,4.0,,0.01294849537037037,0.011140046296296295
264,31.0,g,,0.0126106336582863,0.012785735540091991
265,32.0,0.0,,0.01273148148148148,0.013888888888888888
266,32.0,3.0,,0.014105902777777778,0.01439525462962963
267,32.0,8.0,,0.01265914351851852,0.010850694444444444
268,32.0,6.0,,0.011357060185185185,0.011212384259259259
269,32.0,1.0,,0.012803819444444444,0.01244212962962963
270,32.0,5.0,,0.011574074074074073,0.01461226851851852
271,32.0,2.0,,0.01273148148148148,0.013527199074074073
272,32.0,g,,0.0126106336582863,0.012989831157028675
273,33.0,2.0,,0.01273148148148148,0.013527199074074073
274,33.0,1.0,,0.012803819444444444,0.01244212962962963
275,33.0,0.0,,0.01273148148148148,0.013888888888888888
276,33.0,4.0,,0.01294849537037037,0.011140046296296295
277,33.0,5.0,,0.011574074074074073,0.01461226851851852
278,33.0,8.0,,0.01265914351851852,0.010850694444444444
279,33.0,7.0,,0.012225115740740741,0.011067708333333334
280,33.0,3.0,,0.014105902777777778,0.01439525462962963
281,33.0,g,,0.0126106336582863,0.012740523554384708
282,34.0,6.0,,0.011357060185185185,0.011212384259259259
283,34.0,4.0,,0.01294849537037037,0.011140046296296295
284,34.0,7.0,,0.012225115740740741,0.011067708333333334
285,34.0,1.0,,0.012803819444444444,0.01244212962962963
286,34.0,8.0,,0.01265914351851852,0.010850694444444444
287,34.0,0.0,,0.01273148148148148,0.013888888888888888
288,34.0,5.0,,0.011574074074074073,0.01461226851851852
289,34.0,g,,0.0126106336582863,0.012173445895314217
290,35.0,1.0,,0.012803819444444444,0.01244212962962963
291,35.0,7.0,,0.012225115740740741,0.011067708333333334
292,35.0,8.0,,0.01265914351851852,0.010850694444444444
293,35.0,2.0,,0.01273148148148148,0.013527199074074073
294,35.0,3.0,,0.014105902777777778,0.01439525462962963
295,35.0,5.0,,0.011574074074074073,0.01461226851851852
296,35.0,6.0,,0.011357060185185185,0.011212384259259259
297,35.0,4.0,,0.01294849537037037,0.011140046296296295
298,35.0,g,,0.0126106336582863,0.012405960820615292
299,36.0,6.0,,0.011357060185185185,0.011212384259259259
300,36.0,2.0,,0.01273148148148148,0.013527199074074073
301,36.0,1.0,,0.012803819444444444,0.01244212962962963
302,36.0,3.0,,0.014105902777777778,0.01439525462962963
303,36.0,7.0,,0.012225115740740741,0.011067708333333334
304,36.0,8.0,,0.01265914351851852,0.010850694444444444
305,36.0,5.0,,0.011574074074074073,0.01461226851851852
306,36.0,g,,0.0126106336582863,0.012586805038154125
307,37.0,2.0,,0.01273148148148148,0.013527199074074073
308,37.0,1.0,,0.012803819444444444,0.01244212962962963
309,37.0,8.0,,0.01265914351851852,0.010850694444444444
310,37.0,7.0,,0.012225115740740741,0.011067708333333334
311,37.0,6.0,,0.011357060185185185,0.011212384259259259
312,37.0,3.0,,0.014105902777777778,0.01439525462962963
313,37.0,5.0,,0.011574074074074073,0.01461226851851852
314,37.0,g,,0.0126106336582863,0.012586805038154125
315,38.0,0.0,,0.01273148148148148,0.013888888888888888
316,38.0,2.0,,0.01273148148148148,0.013527199074074073
317,38.0,7.0,,0.012225115740740741,0.011067708333333334
318,38.0,1.0,,0.012803819444444444,0.01244212962962963
319,38.0,5.0,,0.011574074074074073,0.01461226851851852
320,38.0,4.0,,0.01294849537037037,0.011140046296296295
321,38.0,6.0,,0.011357060185185185,0.011212384259259259
322,38.0,g,,0.0126106336582863,0.012555803172290325
323,39.0,5.0,,0.011574074074074073,0.01461226851851852
