,epoch,acc,precision,recall,pred_acc_member,pred_acc_non_member,true_member,false_member,true_non_member,false_non_member
0,1.0,0.4983388704318937,0.5,0.006622516556291391,0.02,0.02,0.0,1.0,149.0,150.0
1,2.0,0.5,0.5,0.02,0.02,0.02,3.0,3.0,147.0,147.0
2,3.0,0.5033333333333333,0.5102040816326531,0.16666666666666666,0.18666666666666668,0.16,25.0,24.0,126.0,125.0
3,4.0,0.5133333333333333,0.5384615384615384,0.18666666666666668,0.18666666666666668,0.16,28.0,24.0,126.0,122.0
4,5.0,0.5033333333333333,0.5051546391752577,0.32666666666666666,0.3333333333333333,0.3466666666666667,49.0,48.0,102.0,101.0
5,6.0,0.5066666666666667,0.5074626865671642,0.4533333333333333,0.4666666666666667,0.4533333333333333,68.0,66.0,84.0,82.0
6,7.0,0.5033333333333333,0.5051546391752577,0.32666666666666666,0.35333333333333333,0.37333333333333335,49.0,48.0,102.0,101.0
7,8.0,0.5033333333333333,0.5051546391752577,0.32666666666666666,0.36666666666666664,0.36,49.0,48.0,102.0,101.0
8,9.0,0.5033333333333333,0.5045871559633027,0.36666666666666664,0.36666666666666664,0.36,55.0,54.0,96.0,95.0
9,10.0,0.5133333333333333,0.5133333333333333,0.5133333333333333,0.56,0.5,77.0,73.0,77.0,73.0
10,11.0,0.53,0.5283018867924528,0.56,0.56,0.5,84.0,75.0,75.0,66.0
11,12.0,0.47333333333333333,0.46153846153846156,0.32,0.3466666666666667,0.4,48.0,56.0,94.0,102.0
12,13.0,0.46,0.44545454545454544,0.32666666666666666,0.36,0.4066666666666667,49.0,61.0,89.0,101.0
13,14.0,0.46,0.44545454545454544,0.32666666666666666,0.38666666666666666,0.4066666666666667,49.0,61.0,89.0,101.0
14,15.0,0.4766666666666667,0.43859649122807015,0.16666666666666666,0.17333333333333334,0.22,25.0,32.0,118.0,125.0
15,16.0,0.47333333333333333,0.46153846153846156,0.32,0.36,0.4,48.0,56.0,94.0,102.0
16,17.0,0.49333333333333335,0.4927536231884058,0.4533333333333333,0.48,0.4866666666666667,68.0,70.0,80.0,82.0
17,18.0,0.48,0.4722222222222222,0.34,0.37333333333333335,0.4,51.0,57.0,93.0,99.0
18,19.0,0.4766666666666667,0.43859649122807015,0.16666666666666666,0.17333333333333334,0.22,25.0,32.0,118.0,125.0
19,20.0,0.4766666666666667,0.4406779661016949,0.17333333333333334,0.17333333333333334,0.22,26.0,33.0,117.0,124.0
20,21.0,0.5066666666666667,0.5072463768115942,0.4666666666666667,0.48,0.46,70.0,68.0,82.0,80.0
21,22.0,0.51,0.5106382978723404,0.48,0.48,0.46,72.0,69.0,81.0,78.0
22,23.0,0.4866666666666667,0.4714285714285714,0.22,0.24,0.26666666666666666,33.0,37.0,113.0,117.0
23,24.0,0.48333333333333334,0.4358974358974359,0.11333333333333333,0.12,0.14666666666666667,17.0,22.0,128.0,133.0
24,25.0,0.5,0.5,0.38666666666666666,0.44666666666666666,0.44666666666666666,58.0,58.0,92.0,92.0
25,26.0,0.49333333333333335,0.45,0.06,0.06666666666666667,0.08,9.0,11.0,139.0,141.0
26,27.0,0.4866666666666667,0.4523809523809524,0.12666666666666668,0.14,0.18,19.0,23.0,127.0,131.0
27,28.0,0.5166666666666667,0.5308641975308642,0.2866666666666667,0.2733333333333333,0.26,43.0,38.0,112.0,107.0
28,29.0,0.51,0.5483870967741935,0.11333333333333333,0.12666666666666668,0.09333333333333334,17.0,14.0,136.0,133.0
29,30.0,0.51,0.5483870967741935,0.11333333333333333,0.12666666666666668,0.09333333333333334,17.0,14.0,136.0,133.0
30,31.0,0.5166666666666667,0.5757575757575758,0.12666666666666668,0.12666666666666668,0.09333333333333334,19.0,14.0,136.0,131.0
31,32.0,0.49666666666666665,0.4,0.013333333333333334,0.013333333333333334,0.02,2.0,3.0,147.0,148.0
32,33.0,0.49666666666666665,0.4,0.013333333333333334,0.013333333333333334,0.02,2.0,3.0,147.0,148.0
33,34.0,0.5,0.5,0.04666666666666667,0.04666666666666667,0.04666666666666667,7.0,7.0,143.0,143.0
34,35.0,0.5,0.5,0.04666666666666667,0.04666666666666667,0.04666666666666667,7.0,7.0,143.0,143.0
35,36.0,0.5,0.5,0.04666666666666667,0.04666666666666667,0.04666666666666667,7.0,7.0,143.0,143.0
36,37.0,0.47333333333333333,0.3888888888888889,0.09333333333333334,0.1,0.14666666666666667,14.0,22.0,128.0,136.0
37,38.0,0.49,0.49171270718232046,0.5933333333333334,0.6066666666666667,0.6066666666666667,89.0,92.0,58.0,61.0
38,39.0,0.49,0.49171270718232046,0.5933333333333334,0.62,0.6066666666666667,89.0,92.0,58.0,61.0
39,40.0,0.51,0.5294117647058824,0.18,0.19333333333333333,0.17333333333333334,27.0,24.0,126.0,123.0
40,41.0,0.49,0.36363636363636365,0.02666666666666667,0.02666666666666667,0.04666666666666667,4.0,7.0,143.0,146.0
41,42.0,0.47333333333333333,0.3888888888888889,0.09333333333333334,0.10666666666666667,0.14666666666666667,14.0,22.0,128.0,136.0
42,43.0,0.48,0.42105263157894735,0.10666666666666667,0.10666666666666667,0.14666666666666667,16.0,22.0,128.0,134.0
43,44.0,0.48,0.42105263157894735,0.10666666666666667,0.10666666666666667,0.14666666666666667,16.0,22.0,128.0,134.0
44,45.0,0.48,0.42105263157894735,0.10666666666666667,0.10666666666666667,0.14666666666666667,16.0,22.0,128.0,134.0
45,46.0,0.51,0.5069124423963134,0.7333333333333333,0.7266666666666667,0.7266666666666667,110.0,107.0,43.0,40.0
46,47.0,0.51,0.5069124423963134,0.7333333333333333,0.7266666666666667,0.72,110.0,107.0,43.0,40.0
47,48.0,0.51,0.5079365079365079,0.64,0.6533333333333333,0.6666666666666666,96.0,93.0,57.0,54.0
48,49.0,0.49333333333333335,0.494949494949495,0.6533333333333333,0.6533333333333333,0.6733333333333333,98.0,100.0,50.0,52.0
49,50.0,0.49,0.49246231155778897,0.6533333333333333,0.6866666666666666,0.7,98.0,101.0,49.0,52.0
50,51.0,0.49333333333333335,0.4951923076923077,0.6866666666666666,0.6866666666666666,0.7,103.0,105.0,45.0,47.0
51,52.0,0.49333333333333335,0.4951923076923077,0.6866666666666666,0.6866666666666666,0.7,103.0,105.0,45.0,47.0
52,53.0,0.49,0.49246231155778897,0.6533333333333333,0.6933333333333334,0.7,98.0,101.0,49.0,52.0
