,epoch,acc,precision,recall,pred_acc_member,pred_acc_non_member,true_member,false_member,true_non_member,false_non_member
0,1.0,0.4983388704318937,0.5,0.006622516556291391,0.02,0.02,0.0,1.0,149.0,150.0
1,2.0,0.5,0.5,0.02,0.02,0.02,3.0,3.0,147.0,147.0
2,3.0,0.4866666666666667,0.45454545454545453,0.13333333333333333,0.18666666666666668,0.19333333333333333,20.0,24.0,126.0,130.0
3,4.0,0.49666666666666665,0.49122807017543857,0.18666666666666668,0.18666666666666668,0.19333333333333333,28.0,29.0,121.0,122.0
4,5.0,0.49,0.48695652173913045,0.37333333333333335,0.4533333333333333,0.43333333333333335,56.0,59.0,91.0,94.0
5,6.0,0.5166666666666667,0.5179856115107914,0.48,0.5,0.5,72.0,67.0,83.0,78.0
6,7.0,0.49,0.48695652173913045,0.37333333333333335,0.4533333333333333,0.4266666666666667,56.0,59.0,91.0,94.0
7,8.0,0.49,0.48695652173913045,0.37333333333333335,0.4533333333333333,0.4266666666666667,56.0,59.0,91.0,94.0
8,9.0,0.5133333333333333,0.5151515151515151,0.4533333333333333,0.4533333333333333,0.4266666666666667,68.0,64.0,86.0,82.0
9,10.0,0.5,0.5,0.56,0.6,0.5666666666666667,84.0,84.0,66.0,66.0
10,11.0,0.5166666666666667,0.5142857142857142,0.6,0.6,0.5666666666666667,90.0,85.0,65.0,60.0
11,12.0,0.5,0.5,0.5333333333333333,0.58,0.5533333333333333,80.0,80.0,70.0,70.0
12,13.0,0.5033333333333333,0.503448275862069,0.4866666666666667,0.5333333333333333,0.5066666666666667,73.0,72.0,78.0,77.0
13,14.0,0.5033333333333333,0.503448275862069,0.4866666666666667,0.54,0.52,73.0,72.0,78.0,77.0
14,15.0,0.5266666666666666,0.527027027027027,0.52,0.56,0.5466666666666666,78.0,70.0,80.0,72.0
15,16.0,0.5,0.5,0.5333333333333333,0.5866666666666667,0.56,80.0,80.0,70.0,70.0
16,17.0,0.47333333333333333,0.4787234042553192,0.6,0.6666666666666666,0.68,90.0,98.0,52.0,60.0
17,18.0,0.49333333333333335,0.49390243902439024,0.54,0.5866666666666667,0.6133333333333333,81.0,83.0,67.0,69.0
18,19.0,0.5266666666666666,0.527027027027027,0.52,0.56,0.5466666666666666,78.0,70.0,80.0,72.0
19,20.0,0.5066666666666667,0.5060240963855421,0.56,0.56,0.5466666666666666,84.0,82.0,68.0,66.0
20,21.0,0.49,0.4913294797687861,0.5666666666666667,0.56,0.5933333333333334,85.0,88.0,62.0,65.0
21,22.0,0.48333333333333334,0.48554913294797686,0.56,0.56,0.5933333333333334,84.0,89.0,61.0,66.0
22,23.0,0.5033333333333333,0.5026178010471204,0.64,0.6733333333333333,0.68,96.0,95.0,55.0,54.0
23,24.0,0.49333333333333335,0.4925373134328358,0.44,0.47333333333333333,0.48,66.0,68.0,82.0,84.0
24,25.0,0.5,0.5,0.7066666666666667,0.72,0.7266666666666667,106.0,106.0,44.0,44.0
25,26.0,0.49,0.48872180451127817,0.43333333333333335,0.44,0.4866666666666667,65.0,68.0,82.0,85.0
26,27.0,0.5133333333333333,0.5153846153846153,0.44666666666666666,0.4533333333333333,0.4666666666666667,67.0,63.0,87.0,83.0
27,28.0,0.5166666666666667,0.5135135135135135,0.6333333333333333,0.6266666666666667,0.6,95.0,90.0,60.0,55.0
28,29.0,0.48,0.4745762711864407,0.37333333333333335,0.37333333333333335,0.46,56.0,62.0,88.0,94.0
29,30.0,0.48,0.4745762711864407,0.37333333333333335,0.4066666666666667,0.48,56.0,62.0,88.0,94.0
30,31.0,0.4633333333333333,0.45864661654135336,0.4066666666666667,0.4066666666666667,0.48,61.0,72.0,78.0,89.0
31,32.0,0.4766666666666667,0.4186046511627907,0.12,0.14666666666666667,0.18,18.0,25.0,125.0,132.0
32,33.0,0.48333333333333334,0.4489795918367347,0.14666666666666667,0.14666666666666667,0.18,22.0,27.0,123.0,128.0
33,34.0,0.5033333333333333,0.502262443438914,0.74,0.7666666666666667,0.7733333333333333,111.0,110.0,40.0,39.0
34,35.0,0.49666666666666665,0.49783549783549785,0.7666666666666667,0.7666666666666667,0.7733333333333333,115.0,116.0,34.0,35.0
35,36.0,0.5033333333333333,0.502262443438914,0.74,0.7733333333333333,0.78,111.0,110.0,40.0,39.0
36,37.0,0.5133333333333333,0.5087719298245614,0.7733333333333333,0.78,0.7733333333333333,116.0,112.0,38.0,34.0
37,38.0,0.49333333333333335,0.49572649572649574,0.7733333333333333,0.8133333333333334,0.8266666666666667,116.0,118.0,32.0,34.0
38,39.0,0.49333333333333335,0.49572649572649574,0.7733333333333333,0.8133333333333334,0.82,116.0,118.0,32.0,34.0
39,40.0,0.49333333333333335,0.4955357142857143,0.74,0.7466666666666667,0.7533333333333333,111.0,113.0,37.0,39.0
40,41.0,0.5066666666666667,0.5044642857142857,0.7533333333333333,0.7666666666666667,0.7466666666666667,113.0,111.0,39.0,37.0
41,42.0,0.5133333333333333,0.5087719298245614,0.7733333333333333,0.7933333333333333,0.7666666666666667,116.0,112.0,38.0,34.0
42,43.0,0.5133333333333333,0.5085470085470085,0.7933333333333333,0.7933333333333333,0.7666666666666667,119.0,115.0,35.0,31.0
43,44.0,0.5133333333333333,0.5085470085470085,0.7933333333333333,0.7933333333333333,0.7666666666666667,119.0,115.0,35.0,31.0
44,45.0,0.5133333333333333,0.5085470085470085,0.7933333333333333,0.7933333333333333,0.7666666666666667,119.0,115.0,35.0,31.0
45,46.0,0.5066666666666667,0.5042735042735043,0.7866666666666666,0.7733333333333333,0.7866666666666666,118.0,116.0,34.0,32.0
46,47.0,0.5066666666666667,0.5042735042735043,0.7866666666666666,0.7866666666666666,0.7933333333333333,118.0,116.0,34.0,32.0
47,48.0,0.54,0.527027027027027,0.78,0.8133333333333334,0.7333333333333333,117.0,105.0,45.0,33.0
48,49.0,0.5166666666666667,0.5120772946859904,0.7066666666666667,0.7533333333333333,0.7066666666666667,106.0,101.0,49.0,44.0
49,50.0,0.5366666666666666,0.5276381909547738,0.7,0.72,0.6733333333333333,105.0,94.0,56.0,45.0
50,51.0,0.5233333333333333,0.5167464114832536,0.72,0.72,0.6733333333333333,108.0,101.0,49.0,42.0
51,52.0,0.5233333333333333,0.5167464114832536,0.72,0.72,0.6733333333333333,108.0,101.0,49.0,42.0
