,epoch,acc,precision,recall,pred_acc_member,pred_acc_non_member,true_member,false_member,true_non_member,false_non_member
0,1.0,0.4983388704318937,0.5,0.006622516556291391,0.02,0.04666666666666667,0.0,1.0,149.0,150.0
1,2.0,0.4866666666666667,0.3,0.02,0.02,0.04666666666666667,3.0,7.0,143.0,147.0
2,3.0,0.5133333333333333,0.5588235294117647,0.12666666666666668,0.16,0.13333333333333333,19.0,15.0,135.0,131.0
3,4.0,0.5133333333333333,0.5454545454545454,0.16,0.16,0.13333333333333333,24.0,20.0,130.0,126.0
4,5.0,0.5233333333333333,0.5402298850574713,0.31333333333333335,0.3933333333333333,0.32,47.0,40.0,110.0,103.0
5,6.0,0.5333333333333333,0.5454545454545454,0.4,0.4533333333333333,0.36,60.0,50.0,100.0,90.0
6,7.0,0.5233333333333333,0.5402298850574713,0.31333333333333335,0.41333333333333333,0.36,47.0,40.0,110.0,103.0
7,8.0,0.5233333333333333,0.5402298850574713,0.31333333333333335,0.42,0.37333333333333335,47.0,40.0,110.0,103.0
8,9.0,0.5233333333333333,0.5294117647058824,0.42,0.42,0.37333333333333335,63.0,56.0,94.0,87.0
9,10.0,0.5166666666666667,0.5174825174825175,0.49333333333333335,0.48,0.52,74.0,69.0,81.0,76.0
10,11.0,0.48,0.48,0.48,0.48,0.52,72.0,78.0,72.0,78.0
11,12.0,0.48,0.4791666666666667,0.46,0.44,0.5133333333333333,69.0,75.0,75.0,81.0
12,13.0,0.4866666666666667,0.4838709677419355,0.4,0.41333333333333333,0.43333333333333335,60.0,64.0,86.0,90.0
13,14.0,0.4866666666666667,0.4838709677419355,0.4,0.42,0.44,60.0,64.0,86.0,90.0
14,15.0,0.52,0.5238095238095238,0.44,0.48,0.42,66.0,60.0,90.0,84.0
15,16.0,0.48,0.4791666666666667,0.46,0.4666666666666667,0.52,69.0,75.0,75.0,81.0
16,17.0,0.5366666666666666,0.5303867403314917,0.64,0.6466666666666666,0.58,96.0,85.0,65.0,54.0
17,18.0,0.51,0.5096774193548387,0.5266666666666666,0.54,0.5533333333333333,79.0,76.0,74.0,71.0
18,19.0,0.52,0.5238095238095238,0.44,0.47333333333333333,0.44,66.0,60.0,90.0,84.0
19,20.0,0.5166666666666667,0.5182481751824818,0.47333333333333333,0.47333333333333333,0.44,71.0,66.0,84.0,79.0
20,21.0,0.5333333333333333,0.5252525252525253,0.6933333333333334,0.7,0.6666666666666666,104.0,94.0,56.0,46.0
21,22.0,0.5166666666666667,0.5121951219512195,0.7,0.7,0.6666666666666666,105.0,100.0,50.0,45.0
22,23.0,0.52,0.5178571428571429,0.58,0.5933333333333334,0.5733333333333334,87.0,81.0,69.0,63.0
23,24.0,0.5066666666666667,0.5058823529411764,0.5733333333333334,0.6,0.62,86.0,84.0,66.0,64.0
24,25.0,0.5366666666666666,0.5279187817258884,0.6933333333333334,0.7133333333333334,0.68,104.0,93.0,57.0,46.0
25,26.0,0.5166666666666667,0.5149700598802395,0.5733333333333334,0.6133333333333333,0.6,86.0,81.0,69.0,64.0
