,epoch,acc,precision,recall,pred_acc_member,pred_acc_non_member,true_member,false_member,true_non_member,false_non_member
0,1.0,0.4983388704318937,0.5,0.006622516556291391,0.02,0.02,0.0,1.0,149.0,150.0
1,2.0,0.5,0.5,0.02,0.02,0.02,3.0,3.0,147.0,147.0
2,3.0,0.5066666666666667,0.5166666666666667,0.20666666666666667,0.29333333333333333,0.22666666666666666,31.0,29.0,121.0,119.0
3,4.0,0.5333333333333333,0.5641025641025641,0.29333333333333333,0.29333333333333333,0.22666666666666666,44.0,34.0,116.0,106.0
4,5.0,0.4866666666666667,0.48412698412698413,0.4066666666666667,0.44666666666666666,0.4533333333333333,61.0,65.0,85.0,89.0
5,6.0,0.5033333333333333,0.5038759689922481,0.43333333333333335,0.47333333333333333,0.43333333333333335,65.0,64.0,86.0,85.0
6,7.0,0.4866666666666667,0.48412698412698413,0.4066666666666667,0.4533333333333333,0.4666666666666667,61.0,65.0,85.0,89.0
7,8.0,0.4866666666666667,0.48412698412698413,0.4066666666666667,0.4533333333333333,0.4666666666666667,61.0,65.0,85.0,89.0
8,9.0,0.49333333333333335,0.4927536231884058,0.4533333333333333,0.4533333333333333,0.4666666666666667,68.0,70.0,80.0,82.0
9,10.0,0.5066666666666667,0.5072463768115942,0.4666666666666667,0.4866666666666667,0.43333333333333335,70.0,68.0,82.0,80.0
10,11.0,0.5266666666666666,0.5289855072463768,0.4866666666666667,0.4866666666666667,0.43333333333333335,73.0,65.0,85.0,77.0
11,12.0,0.5133333333333333,0.5116279069767442,0.5866666666666667,0.5866666666666667,0.5933333333333334,88.0,84.0,66.0,62.0
12,13.0,0.4766666666666667,0.4755244755244755,0.4533333333333333,0.5,0.54,68.0,75.0,75.0,82.0
13,14.0,0.4766666666666667,0.4755244755244755,0.4533333333333333,0.5266666666666666,0.54,68.0,75.0,75.0,82.0
14,15.0,0.49333333333333335,0.4943181818181818,0.58,0.6066666666666667,0.6,87.0,89.0,61.0,63.0
15,16.0,0.5133333333333333,0.5116279069767442,0.5866666666666667,0.6133333333333333,0.62,88.0,84.0,66.0,62.0
16,17.0,0.48,0.48404255319148937,0.6066666666666667,0.6266666666666667,0.6733333333333333,91.0,97.0,53.0,59.0
17,18.0,0.46,0.46703296703296704,0.5666666666666667,0.5866666666666667,0.6533333333333333,85.0,97.0,53.0,65.0
18,19.0,0.49333333333333335,0.4943181818181818,0.58,0.6066666666666667,0.62,87.0,89.0,61.0,63.0
19,20.0,0.49333333333333335,0.4945652173913043,0.6066666666666667,0.6066666666666667,0.62,91.0,93.0,57.0,59.0
20,21.0,0.4866666666666667,0.4900990099009901,0.66,0.7066666666666667,0.68,99.0,103.0,47.0,51.0
21,22.0,0.5133333333333333,0.5096153846153846,0.7066666666666667,0.7066666666666667,0.68,106.0,102.0,48.0,44.0
22,23.0,0.51,0.5076923076923077,0.66,0.7066666666666667,0.6666666666666666,99.0,96.0,54.0,51.0
23,24.0,0.4866666666666667,0.48936170212765956,0.6133333333333333,0.7,0.6666666666666666,92.0,96.0,54.0,58.0
24,25.0,0.5033333333333333,0.5023923444976076,0.7,0.7466666666666667,0.72,105.0,104.0,46.0,45.0
25,26.0,0.5266666666666666,0.5194174757281553,0.7133333333333334,0.76,0.74,107.0,99.0,51.0,43.0
26,27.0,0.5033333333333333,0.5024630541871922,0.68,0.6933333333333334,0.7333333333333333,102.0,101.0,49.0,48.0
27,28.0,0.49666666666666665,0.49760765550239233,0.6933333333333334,0.7133333333333334,0.72,104.0,105.0,45.0,46.0
28,29.0,0.4866666666666667,0.49145299145299143,0.7666666666666667,0.82,0.7866666666666666,115.0,119.0,31.0,35.0
29,30.0,0.4866666666666667,0.49145299145299143,0.7666666666666667,0.8266666666666667,0.8133333333333334,115.0,119.0,31.0,35.0
30,31.0,0.5066666666666667,0.5040650406504065,0.8266666666666667,0.8266666666666667,0.8133333333333334,124.0,122.0,28.0,26.0
31,32.0,0.52,0.5125,0.82,0.84,0.8066666666666666,123.0,117.0,33.0,27.0
32,33.0,0.5166666666666667,0.5101214574898786,0.84,0.84,0.8066666666666666,126.0,121.0,29.0,24.0
33,34.0,0.5333333333333333,0.5221238938053098,0.7866666666666666,0.8266666666666667,0.7666666666666667,118.0,108.0,42.0,32.0
34,35.0,0.53,0.5188284518828452,0.8266666666666667,0.8266666666666667,0.7666666666666667,124.0,115.0,35.0,26.0
35,36.0,0.5333333333333333,0.5221238938053098,0.7866666666666666,0.8266666666666667,0.7666666666666667,118.0,108.0,42.0,32.0
36,37.0,0.51,0.5063291139240507,0.8,0.8266666666666667,0.78,120.0,117.0,33.0,30.0
37,38.0,0.5233333333333333,0.5150214592274678,0.8,0.8266666666666667,0.7733333333333333,120.0,113.0,37.0,30.0
38,39.0,0.5233333333333333,0.5150214592274678,0.8,0.8266666666666667,0.7733333333333333,120.0,113.0,37.0,30.0
39,40.0,0.5133333333333333,0.509009009009009,0.7533333333333333,0.8066666666666666,0.78,113.0,109.0,41.0,37.0
40,41.0,0.5066666666666667,0.5043103448275862,0.78,0.8266666666666667,0.7666666666666667,117.0,115.0,35.0,33.0
41,42.0,0.51,0.5063291139240507,0.8,0.84,0.8,120.0,117.0,33.0,30.0
42,43.0,0.52,0.5121951219512195,0.84,0.84,0.8,126.0,120.0,30.0,24.0
43,44.0,0.52,0.5121951219512195,0.84,0.84,0.8,126.0,120.0,30.0,24.0
44,45.0,0.52,0.5121951219512195,0.84,0.84,0.8,126.0,120.0,30.0,24.0
45,46.0,0.5433333333333333,0.5263157894736842,0.8666666666666667,0.8733333333333333,0.82,130.0,117.0,33.0,20.0
46,47.0,0.5433333333333333,0.5263157894736842,0.8666666666666667,0.82,0.7333333333333333,130.0,117.0,33.0,20.0
47,48.0,0.5,0.5,0.78,0.8066666666666666,0.72,117.0,117.0,33.0,33.0
48,49.0,0.5133333333333333,0.508695652173913,0.78,0.8133333333333334,0.76,117.0,113.0,37.0,33.0
49,50.0,0.53,0.5180722891566265,0.86,0.84,0.7533333333333333,129.0,120.0,30.0,21.0
50,51.0,0.5433333333333333,0.5271966527196653,0.84,0.84,0.7533333333333333,126.0,113.0,37.0,24.0
51,52.0,0.5433333333333333,0.5271966527196653,0.84,0.84,0.7533333333333333,126.0,113.0,37.0,24.0
52,53.0,0.53,0.5180722891566265,0.86,0.8466666666666667,0.76,129.0,120.0,30.0,21.0
