,epoch,acc,precision,recall,pred_acc_member,pred_acc_non_member,true_member,false_member,true_non_member,false_non_member
0,1.0,0.5016611295681063,1.0,0.006622516556291391,0.13333333333333333,0.08666666666666667,0.0,0.0,150.0,150.0
1,2.0,0.5233333333333333,0.6060606060606061,0.13333333333333333,0.13333333333333333,0.08666666666666667,20.0,13.0,137.0,130.0
2,3.0,0.5266666666666666,0.5689655172413793,0.22,0.22666666666666666,0.18666666666666668,33.0,25.0,125.0,117.0
3,4.0,0.52,0.5483870967741935,0.22666666666666666,0.22666666666666666,0.18666666666666668,34.0,28.0,122.0,116.0
4,5.0,0.5266666666666666,0.5714285714285714,0.21333333333333335,0.22,0.16666666666666666,32.0,24.0,126.0,118.0
5,6.0,0.5266666666666666,0.5689655172413793,0.22,0.22,0.18,33.0,25.0,125.0,117.0
6,7.0,0.5266666666666666,0.5714285714285714,0.21333333333333335,0.22,0.17333333333333334,32.0,24.0,126.0,118.0
7,8.0,0.5266666666666666,0.5714285714285714,0.21333333333333335,0.22,0.17333333333333334,32.0,24.0,126.0,118.0
8,9.0,0.5233333333333333,0.559322033898305,0.22,0.22,0.17333333333333334,33.0,26.0,124.0,117.0
9,10.0,0.52,0.55,0.22,0.23333333333333334,0.18666666666666668,33.0,27.0,123.0,117.0
10,11.0,0.5233333333333333,0.5555555555555556,0.23333333333333334,0.23333333333333334,0.18666666666666668,35.0,28.0,122.0,115.0
11,12.0,0.5033333333333333,0.5046728971962616,0.36,0.36666666666666664,0.3466666666666667,54.0,53.0,97.0,96.0
12,13.0,0.4766666666666667,0.4492753623188406,0.20666666666666667,0.21333333333333335,0.25333333333333335,31.0,38.0,112.0,119.0
13,14.0,0.4766666666666667,0.4492753623188406,0.20666666666666667,0.21333333333333335,0.26666666666666666,31.0,38.0,112.0,119.0
14,15.0,0.48333333333333334,0.4626865671641791,0.20666666666666667,0.22666666666666666,0.2866666666666667,31.0,36.0,114.0,119.0
15,16.0,0.5033333333333333,0.5046728971962616,0.36,0.37333333333333335,0.35333333333333333,54.0,53.0,97.0,96.0
16,17.0,0.47,0.44155844155844154,0.22666666666666666,0.23333333333333334,0.29333333333333333,34.0,43.0,107.0,116.0
17,18.0,0.48,0.45454545454545453,0.2,0.22666666666666666,0.2733333333333333,30.0,36.0,114.0,120.0
18,19.0,0.48333333333333334,0.4626865671641791,0.20666666666666667,0.23333333333333334,0.2866666666666667,31.0,36.0,114.0,119.0
19,20.0,0.47333333333333333,0.44871794871794873,0.23333333333333334,0.23333333333333334,0.2866666666666667,35.0,43.0,107.0,115.0
20,21.0,0.47,0.4430379746835443,0.23333333333333334,0.26666666666666666,0.32,35.0,44.0,106.0,115.0
21,22.0,0.47333333333333333,0.45454545454545453,0.26666666666666666,0.26666666666666666,0.32,40.0,48.0,102.0,110.0
22,23.0,0.5133333333333333,0.5138888888888888,0.49333333333333335,0.49333333333333335,0.4666666666666667,74.0,70.0,80.0,76.0
23,24.0,0.5166666666666667,0.5263157894736842,0.3333333333333333,0.3466666666666667,0.30666666666666664,50.0,45.0,105.0,100.0
24,25.0,0.5033333333333333,0.503448275862069,0.4866666666666667,0.49333333333333335,0.48,73.0,72.0,78.0,77.0
25,26.0,0.52,0.53125,0.34,0.36666666666666664,0.34,51.0,45.0,105.0,99.0
26,27.0,0.5233333333333333,0.5309734513274337,0.4,0.42,0.38666666666666666,60.0,53.0,97.0,90.0
27,28.0,0.5133333333333333,0.5149253731343284,0.46,0.47333333333333333,0.4666666666666667,69.0,65.0,85.0,81.0
28,29.0,0.5033333333333333,0.5035460992907801,0.47333333333333333,0.49333333333333335,0.48,71.0,70.0,80.0,79.0
29,30.0,0.5033333333333333,0.5035460992907801,0.47333333333333333,0.49333333333333335,0.4866666666666667,71.0,70.0,80.0,79.0
30,31.0,0.5033333333333333,0.5034013605442177,0.49333333333333335,0.49333333333333335,0.4866666666666667,74.0,73.0,77.0,76.0
31,32.0,0.51,0.5099337748344371,0.5133333333333333,0.54,0.5133333333333333,77.0,74.0,76.0,73.0
