,epoch,acc,precision,recall,pred_acc_member,pred_acc_non_member,true_member,false_member,true_non_member,false_non_member
0,1.0,0.5016611295681063,1.0,0.006622516556291391,0.13333333333333333,0.08666666666666667,0.0,0.0,150.0,150.0
1,2.0,0.5233333333333333,0.6060606060606061,0.13333333333333333,0.13333333333333333,0.08666666666666667,20.0,13.0,137.0,130.0
2,3.0,0.5133333333333333,0.5434782608695652,0.16666666666666666,0.18,0.14666666666666667,25.0,21.0,129.0,125.0
3,4.0,0.5166666666666667,0.5510204081632653,0.18,0.18,0.14666666666666667,27.0,22.0,128.0,123.0
4,5.0,0.52,0.5365853658536586,0.29333333333333333,0.31333333333333335,0.26666666666666666,44.0,38.0,112.0,106.0
5,6.0,0.5,0.5,0.24666666666666667,0.2733333333333333,0.26,37.0,37.0,113.0,113.0
6,7.0,0.52,0.5365853658536586,0.29333333333333333,0.31333333333333335,0.26666666666666666,44.0,38.0,112.0,106.0
7,8.0,0.52,0.5365853658536586,0.29333333333333333,0.31333333333333335,0.26666666666666666,44.0,38.0,112.0,106.0
8,9.0,0.5233333333333333,0.5402298850574713,0.31333333333333335,0.31333333333333335,0.26666666666666666,47.0,40.0,110.0,103.0
9,10.0,0.5166666666666667,0.5263157894736842,0.3333333333333333,0.36,0.31333333333333335,50.0,45.0,105.0,100.0
10,11.0,0.5233333333333333,0.5346534653465347,0.36,0.36,0.31333333333333335,54.0,47.0,103.0,96.0
11,12.0,0.48,0.4482758620689655,0.17333333333333334,0.16666666666666666,0.2,26.0,32.0,118.0,124.0
12,13.0,0.4766666666666667,0.36,0.06,0.06,0.10666666666666667,9.0,16.0,134.0,141.0
13,14.0,0.4766666666666667,0.36,0.06,0.06,0.11333333333333333,9.0,16.0,134.0,141.0
14,15.0,0.5033333333333333,0.5031847133757962,0.5266666666666666,0.54,0.52,79.0,78.0,72.0,71.0
15,16.0,0.48,0.4482758620689655,0.17333333333333334,0.18,0.20666666666666667,26.0,32.0,118.0,124.0
16,17.0,0.5,0.5,0.5066666666666667,0.5333333333333333,0.5266666666666666,76.0,76.0,74.0,74.0
17,18.0,0.5133333333333333,0.5147058823529411,0.4666666666666667,0.5066666666666667,0.44,70.0,66.0,84.0,80.0
18,19.0,0.5033333333333333,0.5031847133757962,0.5266666666666666,0.56,0.54,79.0,78.0,72.0,71.0
19,20.0,0.51,0.509090909090909,0.56,0.56,0.54,84.0,81.0,69.0,66.0
20,21.0,0.5433333333333333,0.5546218487394958,0.44,0.44,0.38666666666666666,66.0,53.0,97.0,84.0
21,22.0,0.5266666666666666,0.532258064516129,0.44,0.44,0.38666666666666666,66.0,58.0,92.0,84.0
22,23.0,0.5333333333333333,0.5362318840579711,0.49333333333333335,0.5066666666666667,0.44,74.0,64.0,86.0,76.0
23,24.0,0.5066666666666667,0.5076923076923077,0.44,0.4533333333333333,0.4266666666666667,66.0,64.0,86.0,84.0
24,25.0,0.5366666666666666,0.5419847328244275,0.47333333333333333,0.48,0.42,71.0,60.0,90.0,79.0
25,26.0,0.5866666666666667,0.5755813953488372,0.66,0.64,0.5066666666666667,99.0,73.0,77.0,51.0
26,27.0,0.5533333333333333,0.5416666666666666,0.6933333333333334,0.7,0.6,104.0,88.0,62.0,46.0
27,28.0,0.56,0.5445544554455446,0.7333333333333333,0.74,0.6266666666666667,110.0,92.0,58.0,40.0
28,29.0,0.5466666666666666,0.5353535353535354,0.7066666666666667,0.74,0.6333333333333333,106.0,92.0,58.0,44.0
29,30.0,0.5466666666666666,0.5353535353535354,0.7066666666666667,0.7333333333333333,0.6333333333333333,106.0,92.0,58.0,44.0
30,31.0,0.55,0.5365853658536586,0.7333333333333333,0.7333333333333333,0.6333333333333333,110.0,95.0,55.0,40.0
31,32.0,0.5533333333333333,0.5416666666666666,0.6933333333333334,0.72,0.6333333333333333,104.0,88.0,62.0,46.0
32,33.0,0.5433333333333333,0.5320197044334976,0.72,0.72,0.6333333333333333,108.0,95.0,55.0,42.0
33,34.0,0.5966666666666667,0.5728643216080402,0.76,0.78,0.5933333333333334,114.0,85.0,65.0,36.0
