,epoch,acc,precision,recall,pred_acc_member,pred_acc_non_member,true_member,false_member,true_non_member,false_non_member
0,1.0,0.5016611295681063,1.0,0.006622516556291391,0.13333333333333333,0.08666666666666667,0.0,0.0,150.0,150.0
1,2.0,0.5233333333333333,0.6060606060606061,0.13333333333333333,0.13333333333333333,0.08666666666666667,20.0,13.0,137.0,130.0
2,3.0,0.5266666666666666,0.5689655172413793,0.22,0.23333333333333334,0.18,33.0,25.0,125.0,117.0
3,4.0,0.5266666666666666,0.5645161290322581,0.23333333333333334,0.23333333333333334,0.18,35.0,27.0,123.0,115.0
4,5.0,0.5233333333333333,0.5376344086021505,0.3333333333333333,0.36666666666666664,0.3,50.0,43.0,107.0,100.0
5,6.0,0.5266666666666666,0.5377358490566038,0.38,0.38,0.3466666666666667,57.0,49.0,101.0,93.0
6,7.0,0.5233333333333333,0.5376344086021505,0.3333333333333333,0.36666666666666664,0.3,50.0,43.0,107.0,100.0
7,8.0,0.5233333333333333,0.5376344086021505,0.3333333333333333,0.36666666666666664,0.30666666666666664,50.0,43.0,107.0,100.0
8,9.0,0.53,0.5445544554455446,0.36666666666666664,0.36666666666666664,0.30666666666666664,55.0,46.0,104.0,95.0
9,10.0,0.5066666666666667,0.5074626865671642,0.4533333333333333,0.4666666666666667,0.4666666666666667,68.0,66.0,84.0,82.0
10,11.0,0.5,0.5,0.4666666666666667,0.4666666666666667,0.4666666666666667,70.0,70.0,80.0,80.0
11,12.0,0.5233333333333333,0.5393258426966292,0.32,0.32666666666666666,0.2733333333333333,48.0,41.0,109.0,102.0
12,13.0,0.51,0.5263157894736842,0.2,0.22666666666666666,0.18,30.0,27.0,123.0,120.0
13,14.0,0.51,0.5263157894736842,0.2,0.23333333333333334,0.2,30.0,27.0,123.0,120.0
14,15.0,0.5233333333333333,0.5225806451612903,0.54,0.5533333333333333,0.5,81.0,74.0,76.0,69.0
15,16.0,0.5233333333333333,0.5393258426966292,0.32,0.3466666666666667,0.31333333333333335,48.0,41.0,109.0,102.0
16,17.0,0.5333333333333333,0.532051282051282,0.5533333333333333,0.5533333333333333,0.54,83.0,73.0,77.0,67.0
17,18.0,0.55,0.5409836065573771,0.66,0.6733333333333333,0.56,99.0,84.0,66.0,51.0
18,19.0,0.5233333333333333,0.5225806451612903,0.54,0.5533333333333333,0.5,81.0,74.0,76.0,69.0
19,20.0,0.5266666666666666,0.5253164556962026,0.5533333333333333,0.5533333333333333,0.5,83.0,75.0,75.0,67.0
20,21.0,0.5366666666666666,0.5329341317365269,0.5933333333333334,0.62,0.5466666666666666,89.0,78.0,72.0,61.0
21,22.0,0.5366666666666666,0.5314285714285715,0.62,0.62,0.5466666666666666,93.0,82.0,68.0,57.0
22,23.0,0.5733333333333334,0.5632183908045977,0.6533333333333333,0.6666666666666666,0.54,98.0,76.0,74.0,52.0
23,24.0,0.5866666666666667,0.5855263157894737,0.5933333333333334,0.6066666666666667,0.44666666666666666,89.0,63.0,87.0,61.0
24,25.0,0.5733333333333334,0.5561224489795918,0.7266666666666667,0.7533333333333333,0.5933333333333334,109.0,87.0,63.0,41.0
25,26.0,0.5533333333333333,0.551948051948052,0.5666666666666667,0.6266666666666667,0.4533333333333333,85.0,69.0,81.0,65.0
26,27.0,0.59,0.5721925133689839,0.7133333333333334,0.7333333333333333,0.5733333333333334,107.0,80.0,70.0,43.0
27,28.0,0.58,0.5606060606060606,0.74,0.7533333333333333,0.5933333333333334,111.0,87.0,63.0,39.0
28,29.0,0.5866666666666667,0.5663265306122449,0.74,0.76,0.5866666666666667,111.0,85.0,65.0,39.0
29,30.0,0.5866666666666667,0.5663265306122449,0.74,0.7666666666666667,0.5866666666666667,111.0,85.0,65.0,39.0
30,31.0,0.59,0.5665024630541872,0.7666666666666667,0.7666666666666667,0.5866666666666667,115.0,88.0,62.0,35.0
31,32.0,0.6,0.576530612244898,0.7533333333333333,0.7666666666666667,0.5666666666666667,113.0,83.0,67.0,37.0
32,33.0,0.6,0.575,0.7666666666666667,0.7666666666666667,0.5666666666666667,115.0,85.0,65.0,35.0
